date,time,Temperature,Humidity,WindDir,WindSpe
2023-01-21,17:00:00,28.3,62.1,185.0,1.9
2023-01-22,06:00:00,22.7,84.7,176.0,0.37
2023-01-22,07:00:00,22.9,85.3,188.0,0.419
2023-01-22,08:00:00,23.3,84.8,168.0,0.219
2023-01-22,09:00:00,23.9,82.6,103.0,0.734
2023-01-22,10:00:00,24.4,80.7,90.8,0.818
2023-01-22,11:00:00,25.9,76.5,152.0,1.64
2023-01-22,12:00:00,27.3,71.5,122.0,1.43
2023-01-22,13:00:00,28.8,65.3,124.0,1.18
2023-01-22,14:00:00,29.9,61.6,115.0,1.29
2023-01-22,15:00:00,29.8,60.8,153.0,0.963
2023-01-22,16:00:00,30.0,59.7,94.2,1.07
2023-01-22,17:00:00,30.2,58.4,110.0,0.793
2023-01-23,06:00:00,24.8,76.4,138.0,0.668
2023-01-23,07:00:00,24.6,77.7,231.0,0.169
2023-01-23,08:00:00,25.9,74.5,205.0,0.607
2023-01-23,09:00:00,27.1,70.7,105.0,1.07
2023-01-23,10:00:00,28.0,66.3,200.0,1.02
2023-01-23,11:00:00,28.5,65.6,137.0,1.2
2023-01-23,12:00:00,28.3,65.6,138.0,1.07
2023-01-23,13:00:00,29.1,63.0,206.0,1.24
2023-01-23,14:00:00,29.6,62.1,199.0,0.807
2023-01-23,15:00:00,29.4,62.2,189.0,1.36
2023-01-23,16:00:00,26.0,78.6,251.0,0.758
2023-01-23,17:00:00,25.0,84.1,215.0,0.597
2023-01-24,06:00:00,24.4,79.0,221.0,0.556
2023-01-24,07:00:00,24.3,79.4,215.0,0.429
2023-01-24,08:00:00,24.6,78.6,254.0,0.82
2023-01-24,09:00:00,25.5,76.2,139.0,0.59
2023-01-24,10:00:00,27.2,70.7,184.0,0.857
2023-01-24,11:00:00,28.3,64.0,120.0,1.13
2023-01-24,12:00:00,29.8,61.4,161.0,1.25
2023-01-24,13:00:00,29.9,58.0,130.0,1.19
2023-01-24,14:00:00,29.2,63.3,138.0,1.03
2023-01-24,15:00:00,28.3,68.1,181.0,0.61
2023-01-24,16:00:00,28.0,69.8,94.8,0.7
2023-01-24,17:00:00,28.1,70.3,101.0,0.881
2023-01-25,06:00:00,25.0,75.6,188.0,0.556
2023-01-25,07:00:00,24.6,77.6,239.0,0.29
2023-01-25,08:00:00,25.3,77.0,219.0,1.06
2023-01-25,09:00:00,26.7,73.4,116.0,0.803
2023-01-25,10:00:00,28.1,69.5,139.0,0.973
2023-01-25,11:00:00,29.9,59.0,213.0,1.7
2023-01-25,12:00:00,31.0,50.5,239.0,2.59
2023-01-25,13:00:00,31.1,53.0,214.0,1.61
2023-01-25,14:00:00,31.4,51.9,238.0,0.905
2023-01-25,15:00:00,31.4,51.2,229.0,1.32
2023-01-25,16:00:00,30.7,55.0,241.0,2.25
2023-01-25,17:00:00,30.8,55.4,247.0,1.59
2023-01-26,06:00:00,24.7,78.5,246.0,0.295
2023-01-26,07:00:00,24.3,79.6,236.0,0.56
2023-01-26,08:00:00,24.1,80.6,194.0,1.48
2023-01-26,09:00:00,24.8,78.8,176.0,1.05
2023-01-26,10:00:00,25.3,77.5,93.0,0.911
2023-01-26,11:00:00,26.6,73.4,130.0,1.2
2023-01-26,12:00:00,28.4,67.1,97.3,1.39
2023-01-26,13:00:00,29.8,61.7,98.5,1.44
2023-01-26,14:00:00,30.6,59.5,144.0,1.25
2023-01-26,15:00:00,31.2,57.9,123.0,1.29
2023-01-26,16:00:00,32.0,55.4,130.0,1.15
2023-01-26,17:00:00,31.7,55.2,154.0,0.954
2023-01-27,06:00:00,23.8,81.9,250.0,1.26
2023-01-27,07:00:00,23.4,82.7,179.0,1.31
2023-01-27,08:00:00,23.8,82.6,156.0,0.968
2023-01-27,09:00:00,25.9,75.7,202.0,0.986
2023-01-27,10:00:00,26.1,75.4,199.0,1.73
2023-01-27,11:00:00,27.7,68.8,178.0,1.74
2023-01-27,12:00:00,28.3,66.1,180.0,0.823
2023-01-27,13:00:00,29.6,62.8,155.0,0.961
2023-01-27,14:00:00,29.6,64.0,205.0,1.32
2023-01-27,15:00:00,28.9,67.5,120.0,1.18
2023-01-27,16:00:00,26.3,79.0,218.0,0.965
2023-01-27,17:00:00,26.7,80.8,270.0,0.811
2023-01-28,06:00:00,24.4,79.6,143.0,0.503
2023-01-28,07:00:00,24.3,79.4,241.0,0.169
2023-01-28,08:00:00,24.5,79.9,220.0,0.273
2023-01-28,09:00:00,24.8,79.8,166.0,0.828
2023-01-28,10:00:00,24.4,81.3,100.0,1.41
2023-01-28,11:00:00,25.2,78.6,132.0,1.13
2023-01-28,12:00:00,25.9,76.1,110.0,1.15
2023-01-28,13:00:00,27.2,72.1,133.0,1.26
2023-01-28,14:00:00,28.8,66.8,115.0,1.22
2023-01-28,15:00:00,29.5,65.2,115.0,1.23
2023-01-28,16:00:00,29.0,66.2,97.5,1.19
2023-01-28,17:00:00,29.0,66.2,175.0,0.967
2023-01-30,06:00:00,23.8,88.8,201.0,0.1
2023-01-30,07:00:00,23.5,89.5,311.0,0.1
2023-01-30,08:00:00,23.6,90.1,211.0,0.288
2023-01-30,09:00:00,24.0,89.0,113.0,0.642
2023-01-30,10:00:00,24.1,87.3,180.0,0.662
2023-01-30,11:00:00,25.7,81.0,126.0,0.8
2023-01-30,12:00:00,26.9,76.4,85.6,0.935
2023-01-30,13:00:00,27.7,73.5,124.0,1.0
2023-01-30,14:00:00,26.8,76.0,126.0,0.935
2023-01-30,15:00:00,27.4,74.2,103.0,0.839
2023-01-30,16:00:00,28.3,72.7,103.0,0.775
2023-01-30,17:00:00,28.0,72.4,125.0,1.12
2023-02-01,06:00:00,24.85,77.85,259.0,0.715
2023-02-01,07:00:00,24.75,78.5,219.0,0.7
2023-02-01,08:00:00,25.05,78.5,195.5,0.975
2023-02-01,09:00:00,26.55,75.25,120.0,0.425
2023-02-01,10:00:00,28.15,67.0,231.5,1.335
2023-02-01,11:00:00,28.8,64.65,158.5,0.95
2023-02-01,12:00:00,30.4,60.55,184.5,1.59
2023-02-01,13:00:00,30.5,58.400000000000006,211.5,1.49
2023-02-01,14:00:00,30.9,56.05,226.0,1.895
2023-02-01,15:00:00,31.200000000000003,55.5,234.5,1.81
2023-02-01,16:00:00,30.85,55.5,236.5,1.99
2023-02-01,17:00:00,30.4,55.65,238.0,2.085
2023-02-02,06:00:00,24.85,81.35,219.0,0.9845
2023-02-02,07:00:00,24.85,82.2,222.5,0.9615
2023-02-02,08:00:00,25.55,80.4,233.0,1.335
2023-02-02,09:00:00,26.4,78.0,227.5,1.585
2023-02-02,10:00:00,28.05,71.05,246.5,1.825
2023-02-02,11:00:00,28.85,66.05,219.0,2.165
2023-02-02,12:00:00,28.55,65.69999999999999,238.5,1.7999999999999998
2023-02-02,13:00:00,27.9,67.1,234.5,1.725
2023-02-02,14:00:00,28.85,67.4,208.0,2.19
2023-02-02,15:00:00,29.5,65.44999999999999,208.5,2.045
2023-02-02,16:00:00,30.0,61.85,231.5,1.565
2023-02-02,17:00:00,29.65,59.65,227.0,1.565
2023-02-03,06:00:00,24.6,83.55000000000001,231.5,0.9845
2023-02-03,07:00:00,24.700000000000003,83.35,240.0,0.8705
2023-02-03,08:00:00,25.5,79.9,237.0,1.495
2023-02-03,09:00:00,26.8,73.3,240.5,2.135
2023-02-03,10:00:00,27.35,69.85,235.5,1.77
2023-02-03,11:00:00,27.5,70.1,187.5,0.9535
2023-02-03,12:00:00,27.0,74.69999999999999,130.5,0.8025
2023-02-03,13:00:00,27.65,73.5,126.5,0.8215
2023-02-03,14:00:00,28.15,71.65,137.5,0.6205
2023-02-03,15:00:00,29.6,65.30000000000001,115.5,0.91
2023-02-03,16:00:00,29.65,64.05,137.5,0.5085
2023-02-03,17:00:00,29.45,62.1,207.5,1.0025
2023-02-04,06:00:00,24.3,82.69999999999999,151.0,0.5025
2023-02-04,07:00:00,23.85,83.15,131.5,0.419
2023-02-04,08:00:00,24.25,82.0,148.0,0.603
2023-02-04,09:00:00,25.1,79.9,96.75,0.803
2023-02-04,10:00:00,25.4,79.75,103.25,0.631
2023-02-04,11:00:00,25.25,80.65,146.5,0.496
2023-02-04,12:00:00,25.45,80.7,176.0,1.0435
2023-02-04,13:00:00,26.8,77.0,153.0,1.0265
2023-02-04,14:00:00,27.25,75.1,163.5,1.415
2023-02-04,15:00:00,27.25,75.3,133.0,1.105
2023-02-04,16:00:00,27.65,73.75,156.5,0.934
2023-02-04,17:00:00,25.85,79.0,229.0,1.39
2023-02-05,06:00:00,24.85,81.94999999999999,267.5,1.235
2023-02-05,07:00:00,24.4,81.5,236.5,2.76
2023-02-05,08:00:00,23.65,84.65,215.0,3.1100000000000003
2023-02-05,09:00:00,24.6,82.65,249.0,2.43
2023-02-05,10:00:00,26.0,78.15,268.5,1.885
2023-02-05,11:00:00,26.45,76.65,234.5,2.145
2023-02-05,12:00:00,27.9,71.4,225.5,1.95
2023-02-05,13:00:00,28.5,69.25,203.0,1.0465
2023-02-05,14:00:00,28.8,68.9,113.5,0.75
2023-02-05,15:00:00,27.9,71.1,220.5,1.0635
2023-02-05,16:00:00,26.55,78.55000000000001,204.0,0.6275
2023-02-05,17:00:00,27.85,74.0,164.5,0.534
2023-02-07,06:00:00,23.3,91.85,227.0,0.1755
2023-02-07,07:00:00,23.45,92.0,232.0,0.1331999999999999
2023-02-07,08:00:00,24.25,90.55,164.0,0.3745
2023-02-07,09:00:00,25.15,84.8,108.5,0.605
2023-02-07,10:00:00,26.5,80.2,137.5,0.7235
2023-02-07,11:00:00,28.0,75.5,126.0,0.8674999999999999
2023-02-07,12:00:00,28.9,72.65,105.05,1.11
2023-02-07,13:00:00,29.5,69.1,160.0,0.952
2023-02-07,14:00:00,28.35,72.95,236.5,1.3775
2023-02-07,15:00:00,28.1,74.05,244.5,0.9365
2023-02-07,16:00:00,28.85,73.3,251.0,1.13
2023-02-07,17:00:00,29.2,69.9,255.0,0.9665
2023-02-08,06:00:00,24.85,83.85,216.5,0.2674999999999999
2023-02-08,07:00:00,24.4,88.8,202.5,0.223
2023-02-08,08:00:00,24.450000000000003,86.7,160.0,0.528
2023-02-08,09:00:00,26.05,80.15,142.5,0.6385000000000001
2023-02-08,10:00:00,27.75,74.4,111.35,1.0619999999999998
2023-02-08,11:00:00,28.9,71.1,147.5,0.9725
2023-02-08,12:00:00,29.45,67.7,145.0,0.9635
2023-02-08,13:00:00,29.25,67.95,107.0,1.305
2023-02-08,14:00:00,28.3,71.9,129.0,0.603
2023-02-08,15:00:00,28.5,71.65,147.5,0.7685
2023-02-08,16:00:00,29.6,67.85,159.5,0.58
2023-02-08,17:00:00,29.0,70.55,132.0,0.874
2023-02-09,06:00:00,23.15,91.35,252.5,0.2339999999999999
2023-02-09,07:00:00,23.15,91.65,192.0,0.416
2023-02-09,08:00:00,23.85,90.8,158.0,0.525
2023-02-09,09:00:00,25.6,84.19999999999999,152.0,0.8745
2023-02-09,10:00:00,25.8,82.94999999999999,158.0,0.603
2023-02-09,11:00:00,27.35,76.45,113.0,0.859
2023-02-09,12:00:00,27.6,75.65,192.0,0.775
2023-02-09,13:00:00,28.5,72.94999999999999,168.5,0.599
2023-02-09,14:00:00,29.0,70.35,230.0,0.919
2023-02-09,15:00:00,29.75,68.65,168.0,0.5845
2023-02-09,16:00:00,29.85,68.1,235.5,0.441
2023-02-09,17:00:00,30.1,68.5,204.5,0.7304999999999999
2023-02-10,06:00:00,22.95,93.55,172.5,0.31385
2023-02-10,07:00:00,22.9,93.8,160.5,0.6165
2023-02-10,08:00:00,23.25,92.35,179.0,1.115
2023-02-10,09:00:00,25.3,83.5,130.0,1.025
2023-02-10,10:00:00,27.05,77.80000000000001,142.0,0.8645
2023-02-10,11:00:00,27.9,74.5,195.5,0.932
2023-02-10,12:00:00,29.25,70.25,199.5,1.48
2023-02-10,13:00:00,29.700000000000003,70.80000000000001,144.0,0.831
2023-02-10,14:00:00,30.65,66.05000000000001,207.5,0.8534999999999999
2023-02-10,15:00:00,30.15,69.25,170.05,1.08
2023-02-10,16:00:00,27.200000000000003,79.15,207.0,1.565
2023-02-10,17:00:00,25.9,85.15,245.5,1.065
2023-02-11,06:00:00,23.25,92.8,283.0,0.433
2023-02-11,07:00:00,23.65,90.35,245.5,1.0775
2023-02-11,08:00:00,24.05,88.30000000000001,216.0,0.4944999999999999
2023-02-11,09:00:00,24.75,87.85,122.5,0.2845
2023-02-11,10:00:00,25.6,86.69999999999999,119.5,0.4505
2023-02-11,11:00:00,25.9,83.55,88.35,0.8105
2023-02-11,12:00:00,27.35,77.85,136.9,0.8095
2023-02-11,13:00:00,26.4,81.4,136.0,0.722
2023-02-11,14:00:00,24.55,87.25,186.5,0.756
2023-02-11,15:00:00,25.15,86.05,182.5,0.7050000000000001
2023-02-11,16:00:00,25.75,85.69999999999999,151.0,0.3399999999999999
2023-02-11,17:00:00,25.4,86.55,165.5,0.2395
