"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-01-13 11:00:00,54.5 %H
2023-01-13 12:00:00,58.4 %H
2023-01-13 15:00:00,50.6 %H
2023-01-13 16:00:00,52.6 %H
2023-01-13 17:00:00,53.7 %H
2023-01-13 18:00:00,58.8 %H
2023-01-13 19:00:00,59.9 %H
2023-01-13 20:00:00,60.2 %H
2023-01-13 21:00:00,63.0 %H
2023-01-13 22:00:00,63.6 %H
2023-01-13 23:00:00,67.9 %H
2023-01-14 00:00:00,70.1 %H
2023-01-14 01:00:00,72.2 %H
2023-01-14 02:00:00,73.2 %H
2023-01-14 03:00:00,73.6 %H
2023-01-14 04:00:00,70.7 %H
2023-01-14 05:00:00,75.3 %H
2023-01-14 06:00:00,75.5 %H
2023-01-14 07:00:00,75.7 %H
2023-01-14 08:00:00,75.7 %H
2023-01-14 09:00:00,74.3 %H
2023-01-14 10:00:00,70.9 %H
2023-01-14 11:00:00,64.7 %H
2023-01-14 12:00:00,59.5 %H
2023-01-14 13:00:00,55.5 %H
2023-01-14 14:00:00,54.9 %H
2023-01-14 15:00:00,49.5 %H
2023-01-14 16:00:00,50.1 %H
2023-01-14 17:00:00,52.0 %H
2023-01-14 18:00:00,52.9 %H
2023-01-14 19:00:00,63.9 %H
2023-01-14 20:00:00,74.4 %H
2023-01-14 21:00:00,81.8 %H
2023-01-14 22:00:00,84.0 %H
2023-01-14 23:00:00,85.2 %H
2023-01-15 00:00:00,84.9 %H
2023-01-15 01:00:00,81.6 %H
2023-01-15 02:00:00,80.0 %H
2023-01-15 03:00:00,83.7 %H
2023-01-15 04:00:00,83.6 %H
2023-01-15 05:00:00,85.5 %H
2023-01-15 06:00:00,85.8 %H
2023-01-15 07:00:00,85.5 %H
2023-01-15 08:00:00,86.3 %H
2023-01-15 09:00:00,85.4 %H
2023-01-15 10:00:00,85.0 %H
2023-01-15 11:00:00,84.9 %H
2023-01-15 12:00:00,79.6 %H
2023-01-15 13:00:00,78.6 %H
2023-01-15 14:00:00,78.8 %H
2023-01-15 15:00:00,75.9 %H
2023-01-15 16:00:00,74.0 %H
2023-01-15 17:00:00,73.6 %H
2023-01-15 18:00:00,73.2 %H
2023-01-15 19:00:00,74.0 %H
2023-01-15 20:00:00,74.9 %H
2023-01-15 21:00:00,75.5 %H
2023-01-15 22:00:00,76.2 %H
2023-01-15 23:00:00,76.4 %H
2023-01-16 00:00:00,77.3 %H
2023-01-16 01:00:00,77.5 %H
2023-01-16 02:00:00,78.7 %H
2023-01-16 03:00:00,77.6 %H
2023-01-16 04:00:00,77.6 %H
2023-01-16 05:00:00,79.4 %H
2023-01-16 06:00:00,82.3 %H
2023-01-16 07:00:00,81.4 %H
2023-01-16 08:00:00,80.4 %H
2023-01-16 09:00:00,76.2 %H
2023-01-16 10:00:00,70.9 %H
2023-01-16 11:00:00,66.8 %H
2023-01-16 12:00:00,62.0 %H
2023-01-16 13:00:00,58.2 %H
2023-01-16 14:00:00,62.2 %H
