"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-12-01 01:00:00,90.7 %H
2023-12-01 02:00:00,91.4 %H
2023-12-01 03:00:00,92.0 %H
2023-12-01 04:00:00,91.7 %H
2023-12-01 05:00:00,92.1 %H
2023-12-01 06:00:00,92.0 %H
2023-12-01 07:00:00,91.7 %H
2023-12-01 08:00:00,91.3 %H
2023-12-01 09:00:00,89.7 %H
2023-12-01 10:00:00,86.1 %H
2023-12-01 11:00:00,82.3 %H
2023-12-01 12:00:00,81.3 %H
2023-12-01 13:00:00,79.3 %H
2023-12-01 14:00:00,77.4 %H
2023-12-01 15:00:00,78.8 %H
2023-12-01 16:00:00,78.7 %H
2023-12-01 17:00:00,78.2 %H
2023-12-01 18:00:00,78.8 %H
2023-12-01 19:00:00,80.3 %H
2023-12-01 20:00:00,81.2 %H
2023-12-01 21:00:00,82.3 %H
2023-12-01 22:00:00,83.7 %H
2023-12-01 23:00:00,86.1 %H
2023-12-02 00:00:00,88.4 %H
2023-12-02 01:00:00,87.5 %H
2023-12-02 02:00:00,86.6 %H
2023-12-02 03:00:00,86.5 %H
2023-12-02 04:00:00,85.6 %H
2023-12-02 05:00:00,84.3 %H
2023-12-02 06:00:00,84.6 %H
2023-12-02 07:00:00,84.1 %H
2023-12-02 08:00:00,82.3 %H
2023-12-02 09:00:00,83.1 %H
2023-12-02 10:00:00,79.3 %H
2023-12-02 11:00:00,74.2 %H
2023-12-02 12:00:00,72.6 %H
2023-12-02 13:00:00,71.9 %H
2023-12-02 14:00:00,72.2 %H
2023-12-02 15:00:00,71.0 %H
2023-12-02 16:00:00,69.5 %H
2023-12-02 17:00:00,73.8 %H
2023-12-02 18:00:00,76.6 %H
2023-12-02 19:00:00,75.5 %H
2023-12-02 20:00:00,76.6 %H
2023-12-02 21:00:00,79.3 %H
2023-12-02 22:00:00,82.7 %H
2023-12-02 23:00:00,86.0 %H
2023-12-03 00:00:00,89.0 %H
2023-12-03 01:00:00,90.5 %H
2023-12-03 02:00:00,91.1 %H
2023-12-03 03:00:00,90.7 %H
2023-12-03 04:00:00,90.0 %H
2023-12-03 05:00:00,90.4 %H
2023-12-03 06:00:00,91.5 %H
2023-12-03 07:00:00,91.7 %H
2023-12-03 08:00:00,88.2 %H
2023-12-03 09:00:00,82.8 %H
2023-12-03 10:00:00,80.8 %H
2023-12-03 11:00:00,78.7 %H
2023-12-03 12:00:00,77.6 %H
2023-12-03 13:00:00,76.5 %H
2023-12-03 14:00:00,74.9 %H
2023-12-03 15:00:00,74.8 %H
2023-12-03 16:00:00,74.8 %H
2023-12-03 17:00:00,76.1 %H
2023-12-03 18:00:00,80.0 %H
2023-12-03 19:00:00,81.4 %H
2023-12-03 20:00:00,81.6 %H
2023-12-03 21:00:00,83.0 %H
2023-12-03 22:00:00,84.2 %H
2023-12-03 23:00:00,87.3 %H
2023-12-04 00:00:00,88.1 %H
2023-12-04 01:00:00,89.8 %H
2023-12-04 02:00:00,90.4 %H
2023-12-04 03:00:00,91.0 %H
2023-12-04 04:00:00,92.1 %H
2023-12-04 05:00:00,95.2 %H
2023-12-04 06:00:00,96.4 %H
2023-12-04 07:00:00,96.8 %H
2023-12-04 08:00:00,90.7 %H
2023-12-04 09:00:00,82.1 %H
2023-12-04 10:00:00,78.7 %H
2023-12-04 11:00:00,76.2 %H
2023-12-04 12:00:00,74.2 %H
2023-12-04 13:00:00,74.0 %H
2023-12-04 14:00:00,74.7 %H
2023-12-04 15:00:00,74.1 %H
2023-12-04 16:00:00,74.1 %H
2023-12-04 17:00:00,74.7 %H
2023-12-04 18:00:00,75.7 %H
2023-12-04 19:00:00,77.0 %H
2023-12-04 20:00:00,78.8 %H
2023-12-04 21:00:00,82.2 %H
2023-12-04 22:00:00,84.7 %H
2023-12-04 23:00:00,86.5 %H
2023-12-05 00:00:00,86.1 %H
2023-12-05 01:00:00,88.1 %H
2023-12-05 02:00:00,90.8 %H
2023-12-05 03:00:00,91.6 %H
2023-12-05 04:00:00,91.8 %H
2023-12-05 05:00:00,91.9 %H
2023-12-05 06:00:00,89.1 %H
2023-12-05 07:00:00,86.6 %H
2023-12-05 08:00:00,87.3 %H
2023-12-05 09:00:00,83.0 %H
2023-12-05 10:00:00,81.1 %H
2023-12-05 11:00:00,78.5 %H
2023-12-05 12:00:00,76.5 %H
2023-12-05 13:00:00,75.1 %H
2023-12-05 14:00:00,75.6 %H
2023-12-05 15:00:00,76.2 %H
2023-12-05 16:00:00,76.5 %H
2023-12-05 17:00:00,77.4 %H
2023-12-05 18:00:00,80.7 %H
2023-12-05 19:00:00,84.1 %H
2023-12-05 20:00:00,86.5 %H
2023-12-05 21:00:00,87.3 %H
2023-12-05 22:00:00,93.7 %H
2023-12-05 23:00:00,94.9 %H
2023-12-06 00:00:00,94.5 %H
2023-12-06 01:00:00,96.5 %H
2023-12-06 02:00:00,96.6 %H
2023-12-06 03:00:00,95.4 %H
2023-12-06 04:00:00,94.7 %H
2023-12-06 05:00:00,94.1 %H
2023-12-06 06:00:00,93.4 %H
2023-12-06 07:00:00,94.1 %H
2023-12-06 08:00:00,89.8 %H
2023-12-06 09:00:00,83.2 %H
2023-12-06 10:00:00,81.2 %H
2023-12-06 11:00:00,77.8 %H
2023-12-06 12:00:00,77.6 %H
2023-12-06 13:00:00,76.9 %H
2023-12-06 14:00:00,77.9 %H
2023-12-06 15:00:00,79.2 %H
2023-12-06 16:00:00,79.5 %H
2023-12-06 17:00:00,78.2 %H
2023-12-06 18:00:00,78.7 %H
2023-12-06 19:00:00,83.3 %H
2023-12-06 20:00:00,86.1 %H
2023-12-06 21:00:00,89.6 %H
2023-12-06 22:00:00,92.8 %H
2023-12-06 23:00:00,97.1 %H
2023-12-07 00:00:00,98.1 %H
2023-12-07 01:00:00,99.9 %H
2023-12-07 02:00:00,99.9 %H
2023-12-07 03:00:00,99.9 %H
2023-12-07 04:00:00,99.9 %H
2023-12-07 05:00:00,99.9 %H
2023-12-07 06:00:00,99.9 %H
2023-12-07 07:00:00,99.9 %H
2023-12-07 08:00:00,99.9 %H
2023-12-07 09:00:00,99.6 %H
2023-12-07 10:00:00,92.2 %H
2023-12-07 11:00:00,84.4 %H
2023-12-07 12:00:00,85.6 %H
2023-12-07 13:00:00,84.3 %H
2023-12-07 14:00:00,82.0 %H
2023-12-07 15:00:00,81.3 %H
2023-12-07 16:00:00,81.6 %H
2023-12-07 17:00:00,81.8 %H
2023-12-07 18:00:00,82.2 %H
2023-12-07 19:00:00,83.4 %H
2023-12-07 20:00:00,84.7 %H
2023-12-07 21:00:00,86.7 %H
2023-12-07 22:00:00,90.2 %H
2023-12-07 23:00:00,92.5 %H
2023-12-08 00:00:00,94.8 %H
2023-12-08 01:00:00,97.1 %H
