"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-04-14 12:00:00,103
2023-04-14 14:00:00,131
2023-04-17 16:00:00,254
2023-04-17 17:00:00,232
2023-04-17 18:00:00,234
2023-04-17 19:00:00,210
2023-04-17 20:00:00,220
2023-04-17 21:00:00,190
2023-04-17 22:00:00,208
2023-04-17 23:00:00,139
2023-04-18 00:00:00,195
2023-04-18 01:00:00,257
2023-04-18 02:00:00,201
2023-04-18 03:00:00,209
2023-04-18 04:00:00,201
2023-04-18 05:00:00,213
2023-04-18 06:00:00,212
2023-04-18 07:00:00,257
2023-04-18 08:00:00,150
2023-04-18 09:00:00,157
2023-04-18 10:00:00,163
2023-04-18 11:00:00,158
2023-04-18 12:00:00,164
2023-04-18 13:00:00,174
2023-04-18 14:00:00,159
2023-04-18 15:00:00,171
2023-04-18 16:00:00,164
2023-04-18 17:00:00,153
2023-04-18 18:00:00,218
2023-04-18 19:00:00,234
2023-04-18 20:00:00,225
2023-04-18 21:00:00,261
2023-04-18 22:00:00,255
2023-04-18 23:00:00,230
2023-04-19 00:00:00,246
2023-04-19 01:00:00,223
2023-04-19 02:00:00,210
2023-04-19 03:00:00,221
2023-04-19 04:00:00,238
2023-04-19 05:00:00,207
2023-04-19 06:00:00,186
2023-04-19 07:00:00,200
2023-04-19 08:00:00,229
2023-04-19 09:00:00,250
2023-04-19 10:00:00,231
2023-04-19 11:00:00,214
2023-04-19 12:00:00,214
2023-04-19 13:00:00,173
2023-04-19 14:00:00,157
2023-04-19 15:00:00,199
2023-04-19 16:00:00,194
2023-04-19 17:00:00,226
2023-04-19 18:00:00,222
2023-04-19 19:00:00,198
2023-04-19 20:00:00,228
2023-04-19 21:00:00,215
2023-04-19 22:00:00,227
2023-04-19 23:00:00,202
2023-04-20 00:00:00,242
2023-04-20 01:00:00,149
2023-04-20 02:00:00,226
2023-04-20 03:00:00,216
2023-04-20 04:00:00,218
2023-04-20 05:00:00,266
2023-04-20 06:00:00,241
2023-04-20 07:00:00,205
2023-04-20 08:00:00,234
2023-04-20 09:00:00,213
2023-04-20 10:00:00,144
2023-04-20 11:00:00,144
2023-04-20 12:00:00,158
2023-04-20 13:00:00,141
2023-04-20 14:00:00,148
2023-04-20 15:00:00,168
2023-04-20 16:00:00,188
2023-04-20 17:00:00,196
2023-04-20 18:00:00,204
2023-04-20 19:00:00,231
2023-04-20 20:00:00,215
2023-04-20 21:00:00,147
2023-04-20 22:00:00,164
2023-04-20 23:00:00,257
2023-04-21 00:00:00,247
2023-04-21 01:00:00,182
2023-04-21 02:00:00,174
2023-04-21 03:00:00,166
2023-04-21 04:00:00,185
2023-04-21 05:00:00,261
2023-04-21 06:00:00,215
2023-04-21 07:00:00,270
2023-04-21 08:00:00,140
2023-04-21 09:00:00,160
2023-04-21 10:00:00,131
2023-04-21 11:00:00,118
2023-04-21 12:00:00,179
2023-04-21 13:00:00,173
2023-04-21 14:00:00,104
2023-04-21 15:00:00,119
2023-04-21 16:00:00,145
2023-04-21 17:00:00,280
2023-04-21 18:00:00,233
2023-04-21 19:00:00,203
2023-04-21 20:00:00,222
2023-04-21 21:00:00,245
2023-04-21 22:00:00,242
2023-04-21 23:00:00,223
2023-04-22 00:00:00,238
2023-04-22 01:00:00,212
2023-04-22 02:00:00,240
2023-04-22 03:00:00,208
2023-04-22 04:00:00,244
2023-04-22 05:00:00,243
2023-04-22 06:00:00,211
2023-04-22 07:00:00,249
2023-04-22 08:00:00,204
2023-04-22 09:00:00,152
2023-04-22 10:00:00,193
2023-04-22 11:00:00,225
2023-04-22 12:00:00,116
2023-04-22 13:00:00,179
2023-04-22 14:00:00,135
2023-04-22 15:00:00,203
2023-04-22 16:00:00,244
2023-04-22 17:00:00,229
2023-04-22 18:00:00,184
2023-04-22 19:00:00,198
2023-04-22 20:00:00,183
2023-04-22 21:00:00,235
2023-04-22 22:00:00,201
2023-04-22 23:00:00,147
2023-04-23 00:00:00,215
2023-04-23 01:00:00,251
2023-04-23 02:00:00,263
2023-04-23 03:00:00,261
2023-04-23 04:00:00,213
2023-04-23 05:00:00,221
2023-04-23 06:00:00,252
2023-04-23 07:00:00,245
2023-04-23 08:00:00,203
2023-04-23 09:00:00,109
2023-04-23 10:00:00,189
2023-04-23 11:00:00,78.5
2023-04-23 12:00:00,122
2023-04-23 13:00:00,141
2023-04-23 14:00:00,115
2023-04-23 15:00:00,99.1
2023-04-23 16:00:00,159
2023-04-23 17:00:00,169
2023-04-23 18:00:00,191
2023-04-23 19:00:00,209
2023-04-23 20:00:00,197
2023-04-23 21:00:00,226
2023-04-23 22:00:00,230
2023-04-23 23:00:00,193
2023-04-24 00:00:00,174
2023-04-24 01:00:00,210
2023-04-24 02:00:00,205
2023-04-24 03:00:00,217
2023-04-24 04:00:00,187
2023-04-24 05:00:00,213
2023-04-24 06:00:00,202
2023-04-24 07:00:00,172
2023-04-24 08:00:00,191
2023-04-24 09:00:00,135
2023-04-24 10:00:00,114
2023-04-24 11:00:00,142
2023-04-24 12:00:00,177
2023-04-24 13:00:00,168
2023-04-24 14:00:00,157
2023-04-24 15:00:00,157
2023-04-24 16:00:00,162
2023-04-24 17:00:00,214
2023-04-24 18:00:00,223
2023-04-24 19:00:00,230
2023-04-24 20:00:00,229
2023-04-24 21:00:00,193
2023-04-24 22:00:00,199
2023-04-24 23:00:00,252
2023-04-25 00:00:00,244
2023-04-25 01:00:00,236
2023-04-25 02:00:00,272
2023-04-25 03:00:00,259
2023-04-25 04:00:00,211
2023-04-25 05:00:00,252
2023-04-25 06:00:00,248
2023-04-25 07:00:00,229
2023-04-25 08:00:00,223
2023-04-25 09:00:00,162
2023-04-25 10:00:00,88.5
2023-04-25 11:00:00,119
2023-04-25 12:00:00,248
2023-04-25 13:00:00,221
2023-04-25 14:00:00,209
2023-04-25 15:00:00,216
2023-04-25 16:00:00,203
2023-04-25 17:00:00,224
2023-04-25 18:00:00,225
2023-04-25 19:00:00,242
2023-04-25 20:00:00,184
2023-04-25 21:00:00,176
2023-04-25 22:00:00,225
2023-04-25 23:00:00,153
2023-04-26 00:00:00,252
2023-04-26 01:00:00,218
2023-04-26 02:00:00,184
2023-04-26 03:00:00,182
2023-04-26 04:00:00,167
2023-04-26 05:00:00,196
2023-04-26 06:00:00,235
2023-04-26 07:00:00,264
2023-04-26 08:00:00,226
2023-04-26 09:00:00,137
2023-04-26 10:00:00,105
2023-04-26 11:00:00,183
2023-04-26 12:00:00,160
2023-04-26 13:00:00,187
2023-04-26 14:00:00,144
2023-04-26 15:00:00,182
2023-04-26 16:00:00,197
2023-04-26 17:00:00,223
2023-04-26 18:00:00,234
2023-04-26 19:00:00,205
2023-04-26 20:00:00,211
2023-04-26 21:00:00,238
2023-04-26 22:00:00,214
2023-04-26 23:00:00,230
2023-04-27 00:00:00,254
2023-04-27 01:00:00,235
2023-04-27 02:00:00,219
2023-04-27 03:00:00,226
2023-04-27 04:00:00,226
2023-04-27 05:00:00,225
2023-04-27 06:00:00,240
2023-04-27 07:00:00,187
2023-04-27 08:00:00,186
2023-04-27 09:00:00,175
2023-04-27 10:00:00,133
2023-04-27 11:00:00,267
2023-04-27 12:00:00,259
2023-04-27 13:00:00,217
2023-04-27 14:00:00,216
2023-04-27 15:00:00,226
2023-04-27 16:00:00,228
2023-04-27 17:00:00,232
2023-04-27 18:00:00,231
2023-04-27 19:00:00,138
2023-04-27 20:00:00,181
2023-04-27 21:00:00,234
2023-04-27 22:00:00,200
2023-04-27 23:00:00,185
2023-04-28 00:00:00,257
2023-04-28 01:00:00,209
2023-04-28 02:00:00,133
2023-04-28 03:00:00,197
2023-04-28 04:00:00,231
2023-04-28 05:00:00,231
2023-04-28 06:00:00,246
2023-04-28 07:00:00,229
2023-04-28 08:00:00,154
2023-04-28 09:00:00,224
2023-04-28 10:00:00,211
2023-04-28 11:00:00,195
2023-04-28 12:00:00,225
2023-04-28 13:00:00,132
2023-04-28 14:00:00,127
2023-04-28 15:00:00,135
