"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2024-01-01 00:30:00,243
2024-01-01 01:00:00,251
2024-01-01 01:30:00,244
2024-01-01 02:00:00,252
2024-01-01 02:30:00,246
2024-01-01 03:00:00,246
2024-01-01 03:30:00,233
2024-01-01 04:00:00,242
2024-01-01 04:30:00,246
2024-01-01 05:00:00,243
2024-01-01 05:30:00,251
2024-01-01 06:00:00,265
2024-01-01 06:30:00,258
2024-01-01 07:00:00,213
2024-01-01 07:30:00,257
2024-01-01 08:00:00,272
2024-01-01 08:30:00,87.3
2024-01-01 09:00:00,283
2024-01-01 09:30:00,234
2024-01-01 10:00:00,188
2024-01-01 10:30:00,149
2024-01-01 11:00:00,117
2024-01-01 11:30:00,121
2024-01-01 12:00:00,223
2024-01-01 12:30:00,208
2024-01-01 13:00:00,182
2024-01-01 13:30:00,146
2024-01-01 14:00:00,140
2024-01-01 14:30:00,116
2024-01-01 15:00:00,134
2024-01-01 15:30:00,127
2024-01-01 16:00:00,158
2024-01-01 16:30:00,137
2024-01-01 17:00:00,123
2024-01-01 17:30:00,145
2024-01-01 18:00:00,248
2024-01-01 18:30:00,265
2024-01-01 19:00:00,223
2024-01-01 19:30:00,215
2024-01-01 20:00:00,217
2024-01-01 20:30:00,260
2024-01-01 21:00:00,267
2024-01-01 21:30:00,270
2024-01-01 22:00:00,294
2024-01-01 22:30:00,244
2024-01-01 23:00:00,282
2024-01-01 23:30:00,264
2024-01-02 00:00:00,249
2024-01-02 00:30:00,250
2024-01-02 01:00:00,241
2024-01-02 01:30:00,222
2024-01-02 02:00:00,223
2024-01-02 02:30:00,255
2024-01-02 03:00:00,253
2024-01-02 03:30:00,245
2024-01-02 04:00:00,225
2024-01-02 04:30:00,206
2024-01-02 05:00:00,195
2024-01-02 05:30:00,283
2024-01-02 06:00:00,292
2024-01-02 06:30:00,279
2024-01-02 07:00:00,298
2024-01-02 07:30:00,302
2024-01-02 08:00:00,297
2024-01-02 08:30:00,309
2024-01-02 09:00:00,231
2024-01-02 09:30:00,119
2024-01-02 10:00:00,154
2024-01-02 10:30:00,207
2024-01-02 11:00:00,135
2024-01-02 11:30:00,174
2024-01-02 12:00:00,156
2024-01-02 12:30:00,110
2024-01-02 13:00:00,128
2024-01-02 13:30:00,125
2024-01-02 14:00:00,136
2024-01-02 14:30:00,97.7
2024-01-02 15:00:00,111
2024-01-02 15:30:00,118
2024-01-02 16:00:00,111
2024-01-02 16:30:00,90.1
2024-01-02 17:00:00,109
2024-01-02 17:30:00,90.3
2024-01-02 18:00:00,93.6
2024-01-02 18:30:00,60.1
2024-01-02 19:00:00,107
2024-01-02 19:30:00,125
2024-01-02 20:00:00,82.5
2024-01-02 20:30:00,142
2024-01-02 21:00:00,300
2024-01-02 21:30:00,261
2024-01-02 22:00:00,115
2024-01-02 22:30:00,246
2024-01-02 23:00:00,190
2024-01-02 23:30:00,233
2024-01-03 00:00:00,280
2024-01-03 00:30:00,287
2024-01-03 01:00:00,252
2024-01-03 01:30:00,249
2024-01-03 02:00:00,237
2024-01-03 02:30:00,184
2024-01-03 03:00:00,238
2024-01-03 03:30:00,261
2024-01-03 04:00:00,240
2024-01-03 04:30:00,245
2024-01-03 05:00:00,226
2024-01-03 05:30:00,234
2024-01-03 06:00:00,257
2024-01-03 06:30:00,235
2024-01-03 07:00:00,260
2024-01-03 07:30:00,264
2024-01-03 08:00:00,231
2024-01-03 08:30:00,248
2024-01-03 09:00:00,277
2024-01-03 09:30:00,249
2024-01-03 10:00:00,210
2024-01-03 10:30:00,280
2024-01-03 11:00:00,252
2024-01-03 11:30:00,220
2024-01-03 12:00:00,217
2024-01-03 12:30:00,148
2024-01-03 13:00:00,139
2024-01-03 13:30:00,107
2024-01-03 14:00:00,268
2024-01-03 14:30:00,186
2024-01-03 15:00:00,277
2024-01-03 15:30:00,104
2024-01-03 16:00:00,136
2024-01-03 16:30:00,196
2024-01-03 17:00:00,188
2024-01-03 17:30:00,184
2024-01-03 18:00:00,180
2024-01-03 18:30:00,122
2024-01-03 19:00:00,145
2024-01-03 19:30:00,188
2024-01-03 20:00:00,233
2024-01-03 20:30:00,225
2024-01-03 21:00:00,211
2024-01-03 21:30:00,266
2024-01-03 22:00:00,88.7
2024-01-03 22:30:00,186
2024-01-03 23:00:00,237
2024-01-03 23:30:00,230
2024-01-04 00:00:00,262
2024-01-04 00:30:00,290
2024-01-04 01:00:00,301
2024-01-04 01:30:00,290
2024-01-04 02:00:00,311
2024-01-04 02:30:00,212
2024-01-04 03:00:00,238
2024-01-04 03:30:00,225
2024-01-04 04:00:00,212
2024-01-04 04:30:00,257
2024-01-04 05:00:00,262
2024-01-04 05:30:00,214
