"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-07 15:00:00,79.6 %H
2023-03-07 16:00:00,80.3 %H
2023-03-07 17:00:00,82.1 %H
2023-03-07 18:00:00,84.0 %H
2023-03-07 19:00:00,88.8 %H
2023-03-07 20:00:00,93.4 %H
2023-03-07 21:00:00,95.0 %H
2023-03-07 22:00:00,95.8 %H
2023-03-07 23:00:00,95.8 %H
2023-03-08 00:00:00,96.0 %H
2023-03-08 01:00:00,96.2 %H
2023-03-08 02:00:00,96.4 %H
2023-03-08 03:00:00,97.1 %H
2023-03-08 04:00:00,97.6 %H
2023-03-08 05:00:00,98.0 %H
2023-03-08 06:00:00,98.1 %H
2023-03-08 07:00:00,98.0 %H
2023-03-08 08:00:00,97.8 %H
2023-03-08 09:00:00,95.6 %H
2023-03-08 10:00:00,88.0 %H
2023-03-08 11:00:00,83.7 %H
2023-03-08 12:00:00,81.6 %H
2023-03-08 13:00:00,76.2 %H
2023-03-08 14:00:00,75.6 %H
2023-03-08 15:00:00,79.0 %H
2023-03-08 16:00:00,72.7 %H
2023-03-08 17:00:00,75.1 %H
2023-03-08 18:00:00,91.5 %H
2023-03-08 19:00:00,97.7 %H
2023-03-08 20:00:00,98.6 %H
2023-03-08 21:00:00,98.8 %H
2023-03-08 22:00:00,99.1 %H
2023-03-08 23:00:00,99.3 %H
2023-03-09 00:00:00,99.5 %H
2023-03-09 01:00:00,99.5 %H
2023-03-09 02:00:00,99.5 %H
2023-03-09 03:00:00,99.2 %H
2023-03-09 04:00:00,99.0 %H
2023-03-09 05:00:00,99.0 %H
2023-03-09 06:00:00,99 %H
2023-03-09 07:00:00,99.0 %H
2023-03-09 08:00:00,99 %H
2023-03-09 09:00:00,98.5 %H
2023-03-09 10:00:00,96.9 %H
2023-03-09 11:00:00,95.9 %H
2023-03-09 12:00:00,97.0 %H
2023-03-09 13:00:00,96.7 %H
2023-03-09 14:00:00,95.1 %H
2023-03-09 15:00:00,98.3 %H
2023-03-09 16:00:00,98.7 %H
2023-03-09 17:00:00,98.6 %H
2023-03-09 18:00:00,98.7 %H
2023-03-09 19:00:00,98.9 %H
2023-03-09 20:00:00,99.0 %H
2023-03-09 21:00:00,99.0 %H
2023-03-09 22:00:00,99.0 %H
2023-03-09 23:00:00,99 %H
2023-03-10 00:00:00,99 %H
2023-03-10 01:00:00,99.0 %H
2023-03-10 02:00:00,99.0 %H
2023-03-10 03:00:00,98.7 %H
2023-03-10 04:00:00,98.5 %H
2023-03-10 05:00:00,98.5 %H
2023-03-10 06:00:00,98.4 %H
2023-03-10 07:00:00,98.1 %H
2023-03-10 08:00:00,97.9 %H
2023-03-10 09:00:00,95.5 %H
2023-03-10 10:00:00,85.4 %H
2023-03-10 11:00:00,80.4 %H
2023-03-10 12:00:00,79.5 %H
2023-03-10 13:00:00,80.9 %H
2023-03-10 14:00:00,81.6 %H
2023-03-10 15:00:00,78.9 %H
2023-03-10 16:00:00,78.2 %H
2023-03-10 17:00:00,86.7 %H
2023-03-10 18:00:00,96.8 %H
2023-03-10 19:00:00,97.5 %H
2023-03-10 20:00:00,97.5 %H
2023-03-10 21:00:00,96.8 %H
2023-03-10 22:00:00,96.1 %H
2023-03-10 23:00:00,94.4 %H
2023-03-11 00:00:00,93.4 %H
2023-03-11 01:00:00,93.2 %H
2023-03-11 02:00:00,94.9 %H
2023-03-11 03:00:00,96.4 %H
2023-03-11 04:00:00,96.4 %H
2023-03-11 05:00:00,96.6 %H
2023-03-11 06:00:00,96.9 %H
