"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-01 01:00:00,1.39 m/s
2023-03-01 02:00:00,1.35 m/s
2023-03-01 03:00:00,1.27 m/s
2023-03-01 04:00:00,0.961 m/s
2023-03-01 05:00:00,0.797 m/s
2023-03-01 06:00:00,0.408 m/s
2023-03-01 07:00:00,0.199 m/s
2023-03-01 08:00:00,0.163 m/s
2023-03-01 09:00:00,0.530 m/s
2023-03-01 10:00:00,0.675 m/s
2023-03-01 11:00:00,0.877 m/s
2023-03-01 12:00:00,0.659 m/s
2023-03-01 13:00:00,0.950 m/s
2023-03-01 14:00:00,0.953 m/s
2023-03-01 15:00:00,1.02 m/s
2023-03-01 16:00:00,0.956 m/s
2023-03-01 17:00:00,0.438 m/s
2023-03-01 18:00:00,1.34 m/s
2023-03-01 19:00:00,0.856 m/s
2023-03-01 20:00:00,0.832 m/s
2023-03-01 21:00:00,0.756 m/s
2023-03-01 22:00:00,0.728 m/s
2023-03-01 23:00:00,0.953 m/s
2023-03-02 00:00:00,0.926 m/s
2023-03-02 01:00:00,0.985 m/s
2023-03-02 02:00:00,1.29 m/s
2023-03-02 03:00:00,1.28 m/s
2023-03-02 04:00:00,1.87 m/s
2023-03-02 05:00:00,1.35 m/s
2023-03-02 06:00:00,0.804 m/s
2023-03-02 07:00:00,0.350 m/s
2023-03-02 08:00:00,0.493 m/s
2023-03-02 09:00:00,1.52 m/s
2023-03-02 10:00:00,1.68 m/s
2023-03-02 11:00:00,1.43 m/s
2023-03-02 12:00:00,1.33 m/s
2023-03-02 13:00:00,0.840 m/s
2023-03-02 14:00:00,1.47 m/s
2023-03-02 15:00:00,1.60 m/s
2023-03-02 16:00:00,0.893 m/s
2023-03-02 17:00:00,1.64 m/s
2023-03-02 18:00:00,1.02 m/s
2023-03-02 19:00:00,0.590 m/s
2023-03-02 20:00:00,0.403 m/s
2023-03-02 21:00:00,0.878 m/s
2023-03-02 22:00:00,0.824 m/s
2023-03-02 23:00:00,0.651 m/s
2023-03-03 00:00:00,0.707 m/s
2023-03-03 01:00:00,0.596 m/s
2023-03-03 02:00:00,0.825 m/s
2023-03-03 03:00:00,0.418 m/s
2023-03-03 04:00:00,1.10 m/s
2023-03-03 05:00:00,0.982 m/s
2023-03-03 06:00:00,0.792 m/s
2023-03-03 07:00:00,0.228 m/s
2023-03-03 08:00:00,0.907 m/s
2023-03-03 09:00:00,0.545 m/s
2023-03-03 10:00:00,0.618 m/s
2023-03-03 11:00:00,1.00 m/s
2023-03-03 12:00:00,0.942 m/s
2023-03-03 13:00:00,0.708 m/s
2023-03-03 14:00:00,0.924 m/s
2023-03-03 15:00:00,0.472 m/s
2023-03-03 16:00:00,0.796 m/s
2023-03-03 17:00:00,1.58 m/s
2023-03-03 18:00:00,1.35 m/s
2023-03-03 19:00:00,0.749 m/s
2023-03-03 20:00:00,0.632 m/s
2023-03-03 21:00:00,0.819 m/s
2023-03-03 22:00:00,0.442 m/s
2023-03-03 23:00:00,0.805 m/s
2023-03-04 00:00:00,1.25 m/s
2023-03-04 01:00:00,0.854 m/s
2023-03-04 02:00:00,1.22 m/s
2023-03-04 03:00:00,0.833 m/s
2023-03-04 04:00:00,0.685 m/s
2023-03-04 05:00:00,0.615 m/s
2023-03-04 06:00:00,0.312 m/s
2023-03-04 07:00:00,0.400 m/s
2023-03-04 08:00:00,0.168 m/s
2023-03-04 09:00:00,0.778 m/s
2023-03-04 10:00:00,0.597 m/s
2023-03-04 11:00:00,0.599 m/s
2023-03-04 12:00:00,1.03 m/s
2023-03-04 13:00:00,1.22 m/s
2023-03-04 14:00:00,0.648 m/s
2023-03-04 15:00:00,0.703 m/s
2023-03-04 16:00:00,1.16 m/s
2023-03-04 17:00:00,0.921 m/s
2023-03-04 18:00:00,0.680 m/s
2023-03-04 19:00:00,1.21 m/s
2023-03-04 20:00:00,0.939 m/s
2023-03-04 21:00:00,0.920 m/s
2023-03-04 22:00:00,1.03 m/s
2023-03-04 23:00:00,1.47 m/s
2023-03-05 00:00:00,1.06 m/s
2023-03-05 01:00:00,0.809 m/s
2023-03-05 02:00:00,1.27 m/s
2023-03-05 03:00:00,1.42 m/s
2023-03-05 04:00:00,0.780 m/s
2023-03-05 05:00:00,0.443 m/s
2023-03-05 06:00:00,0.301 m/s
2023-03-05 07:00:00,0.159 m/s
2023-03-05 08:00:00,0.329 m/s
2023-03-05 09:00:00,0.210 m/s
2023-03-05 10:00:00,0.449 m/s
2023-03-05 11:00:00,0.478 m/s
2023-03-05 12:00:00,0.674 m/s
2023-03-05 13:00:00,0.720 m/s
2023-03-05 14:00:00,0.939 m/s
2023-03-05 15:00:00,1.54 m/s
2023-03-05 16:00:00,1.46 m/s
2023-03-05 17:00:00,1.46 m/s
2023-03-05 18:00:00,0.702 m/s
2023-03-05 19:00:00,1.88 m/s
2023-03-05 20:00:00,1.89 m/s
2023-03-05 21:00:00,1.38 m/s
2023-03-05 22:00:00,2.24 m/s
2023-03-05 23:00:00,2.34 m/s
2023-03-06 00:00:00,1.04 m/s
2023-03-06 01:00:00,0.731 m/s
2023-03-06 02:00:00,0.566 m/s
2023-03-06 03:00:00,0.742 m/s
2023-03-06 04:00:00,0.627 m/s
2023-03-06 05:00:00,0.757 m/s
2023-03-06 06:00:00,0.416 m/s
2023-03-06 07:00:00,0.112 m/s
2023-03-06 08:00:00,0.240 m/s
2023-03-06 09:00:00,0.263 m/s
2023-03-06 10:00:00,0.407 m/s
2023-03-06 11:00:00,0.801 m/s
2023-03-06 12:00:00,1.39 m/s
2023-03-06 13:00:00,1.98 m/s
2023-03-06 14:00:00,1.80 m/s
2023-03-06 15:00:00,1.58 m/s
2023-03-06 16:00:00,1.29 m/s
2023-03-06 17:00:00,0.791 m/s
2023-03-06 18:00:00,2.82 m/s
2023-03-06 19:00:00,1.67 m/s
2023-03-06 20:00:00,1.04 m/s
2023-03-06 21:00:00,0.636 m/s
2023-03-06 22:00:00,0.737 m/s
2023-03-06 23:00:00,2.01 m/s
2023-03-07 00:00:00,1.45 m/s
2023-03-07 01:00:00,2.25 m/s
2023-03-07 02:00:00,2.48 m/s
2023-03-07 03:00:00,2.37 m/s
2023-03-07 04:00:00,2.15 m/s
2023-03-07 05:00:00,1.79 m/s
2023-03-07 06:00:00,0.603 m/s
2023-03-07 07:00:00,0.747 m/s
2023-03-07 08:00:00,0.971 m/s
2023-03-07 09:00:00,1.48 m/s
2023-03-07 10:00:00,1.32 m/s
2023-03-07 11:00:00,0.903 m/s
2023-03-07 12:00:00,1.06 m/s
2023-03-07 13:00:00,1.04 m/s
2023-03-07 14:00:00,1.49 m/s
2023-03-07 15:00:00,2.46 m/s
2023-03-07 16:00:00,1.18 m/s
2023-03-07 17:00:00,1.49 m/s
2023-03-07 18:00:00,1.47 m/s
2023-03-07 19:00:00,0.459 m/s
