"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-02-01 00:30:00,0.767 m/s
2023-02-01 01:00:00,0.133 m/s
2023-02-01 01:30:00,0.200 m/s
2023-02-01 02:00:00,0.533 m/s
2023-02-01 02:30:00,0.267 m/s
2023-02-01 03:00:00,0 m/s
2023-02-01 03:30:00,1.17 m/s
2023-02-01 04:00:00,0.880 m/s
2023-02-01 04:30:00,2.05 m/s
2023-02-01 05:00:00,0.200 m/s
2023-02-01 05:30:00,0.833 m/s
2023-02-01 06:00:00,1.13 m/s
2023-02-01 06:30:00,0.300 m/s
2023-02-01 07:00:00,0.800 m/s
2023-02-01 07:30:00,0.600 m/s
2023-02-01 08:00:00,1.05 m/s
2023-02-01 08:30:00,0.900 m/s
2023-02-01 09:00:00,0.450 m/s
2023-02-01 09:30:00,0.400 m/s
2023-02-01 10:00:00,1.67 m/s
2023-02-01 10:30:00,1 m/s
2023-02-01 11:00:00,1.15 m/s
2023-02-01 11:30:00,0.750 m/s
2023-02-01 12:00:00,1.22 m/s
2023-02-01 12:30:00,1.96 m/s
2023-02-01 13:00:00,1.52 m/s
2023-02-01 13:30:00,1.46 m/s
2023-02-01 14:00:00,1.74 m/s
2023-02-01 14:30:00,2.05 m/s
2023-02-01 15:00:00,1.77 m/s
2023-02-01 15:30:00,1.85 m/s
2023-02-01 16:00:00,1.78 m/s
2023-02-01 16:30:00,2.20 m/s
2023-02-01 17:00:00,2.01 m/s
2023-02-01 17:30:00,2.16 m/s
2023-02-01 18:00:00,1.70 m/s
2023-02-01 18:30:00,0.961 m/s
2023-02-01 19:00:00,1.30 m/s
2023-02-01 19:30:00,1.46 m/s
2023-02-01 20:00:00,1.66 m/s
2023-02-01 20:30:00,1.55 m/s
2023-02-01 21:00:00,2.30 m/s
2023-02-01 21:30:00,2.04 m/s
2023-02-01 22:00:00,2.46 m/s
2023-02-01 22:30:00,1.97 m/s
2023-02-01 23:00:00,2.67 m/s
2023-02-01 23:30:00,2.33 m/s
2023-02-02 00:00:00,2.15 m/s
2023-02-02 00:30:00,2.97 m/s
2023-02-02 01:00:00,2.10 m/s
2023-02-02 01:30:00,2.02 m/s
2023-02-02 02:00:00,2.93 m/s
2023-02-02 02:30:00,1.98 m/s
2023-02-02 03:00:00,1.28 m/s
2023-02-02 03:30:00,1.03 m/s
2023-02-02 04:00:00,1.21 m/s
2023-02-02 04:30:00,1.42 m/s
2023-02-02 05:00:00,1.41 m/s
2023-02-02 05:30:00,1.28 m/s
2023-02-02 06:00:00,0.829 m/s
2023-02-02 06:30:00,1.14 m/s
2023-02-02 07:00:00,0.990 m/s
2023-02-02 07:30:00,0.933 m/s
2023-02-02 08:00:00,1.28 m/s
