"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-07-01 01:00:00,1.78 m/s
2023-07-01 02:00:00,2.02 m/s
2023-07-01 03:00:00,1.77 m/s
2023-07-01 04:00:00,1.52 m/s
2023-07-01 05:00:00,2.05 m/s
2023-07-01 06:00:00,2.92 m/s
2023-07-01 07:00:00,3.10 m/s
2023-07-01 08:00:00,2.86 m/s
2023-07-01 09:00:00,1.26 m/s
2023-07-01 10:00:00,1.41 m/s
2023-07-01 11:00:00,0.833 m/s
2023-07-01 12:00:00,0.914 m/s
2023-07-01 13:00:00,1.36 m/s
2023-07-01 14:00:00,0.810 m/s
2023-07-01 15:00:00,0.923 m/s
2023-07-01 16:00:00,1.02 m/s
2023-07-01 17:00:00,1.01 m/s
2023-07-01 18:00:00,1.13 m/s
2023-07-01 19:00:00,1.75 m/s
2023-07-01 20:00:00,1.71 m/s
2023-07-01 21:00:00,2.62 m/s
2023-07-01 22:00:00,3.16 m/s
2023-07-01 23:00:00,1.21 m/s
2023-07-02 00:00:00,1.60 m/s
2023-07-02 01:00:00,2.10 m/s
2023-07-02 02:00:00,1.70 m/s
2023-07-02 03:00:00,1.11 m/s
2023-07-02 04:00:00,1.06 m/s
2023-07-02 05:00:00,1.04 m/s
2023-07-02 06:00:00,1.26 m/s
2023-07-02 07:00:00,1.56 m/s
2023-07-02 08:00:00,1.20 m/s
2023-07-02 09:00:00,1.26 m/s
2023-07-02 10:00:00,1.52 m/s
2023-07-02 11:00:00,1.32 m/s
2023-07-02 12:00:00,1.09 m/s
2023-07-02 13:00:00,1.08 m/s
2023-07-02 14:00:00,0.967 m/s
2023-07-02 15:00:00,1.36 m/s
2023-07-02 16:00:00,1.30 m/s
2023-07-02 17:00:00,1.05 m/s
2023-07-02 18:00:00,1.49 m/s
2023-07-02 19:00:00,2.22 m/s
2023-07-02 20:00:00,2.29 m/s
2023-07-02 21:00:00,2.90 m/s
2023-07-02 22:00:00,2.74 m/s
2023-07-02 23:00:00,1.83 m/s
2023-07-03 00:00:00,2.29 m/s
2023-07-03 01:00:00,2.57 m/s
2023-07-03 02:00:00,1.03 m/s
2023-07-03 03:00:00,0.500 m/s
2023-07-03 04:00:00,0.263 m/s
2023-07-03 05:00:00,0.197 m/s
2023-07-03 06:00:00,0.430 m/s
2023-07-03 07:00:00,0.510 m/s
2023-07-03 08:00:00,0.557 m/s
2023-07-03 09:00:00,0.507 m/s
2023-07-03 10:00:00,1.49 m/s
2023-07-03 11:00:00,1.58 m/s
2023-07-03 12:00:00,1.10 m/s
2023-07-03 13:00:00,1.19 m/s
2023-07-03 14:00:00,1.12 m/s
2023-07-03 15:00:00,0.770 m/s
2023-07-03 16:00:00,1.36 m/s
2023-07-03 17:00:00,1.69 m/s
2023-07-03 18:00:00,1.81 m/s
2023-07-03 19:00:00,1.73 m/s
2023-07-03 20:00:00,2.11 m/s
2023-07-03 21:00:00,2.19 m/s
2023-07-03 22:00:00,2.13 m/s
2023-07-03 23:00:00,2.31 m/s
2023-07-04 00:00:00,1.22 m/s
2023-07-04 01:00:00,0.910 m/s
2023-07-04 02:00:00,1.30 m/s
2023-07-04 03:00:00,0.967 m/s
2023-07-04 04:00:00,0.873 m/s
2023-07-04 05:00:00,0.967 m/s
2023-07-04 06:00:00,0.630 m/s
2023-07-04 07:00:00,1.09 m/s
2023-07-04 08:00:00,1.17 m/s
2023-07-04 09:00:00,0.793 m/s
2023-07-04 10:00:00,1.04 m/s
2023-07-04 11:00:00,1.26 m/s
2023-07-04 12:00:00,1.30 m/s
2023-07-04 13:00:00,0.959 m/s
2023-07-04 14:00:00,0.536 m/s
2023-07-04 15:00:00,0.557 m/s
2023-07-04 16:00:00,0.983 m/s
2023-07-04 17:00:00,1.27 m/s
2023-07-04 18:00:00,1.63 m/s
2023-07-04 19:00:00,1.86 m/s
2023-07-04 20:00:00,1.03 m/s
2023-07-04 21:00:00,0.970 m/s
2023-07-04 22:00:00,1.61 m/s
2023-07-04 23:00:00,1.98 m/s
2023-07-05 00:00:00,1.87 m/s
2023-07-05 01:00:00,2.66 m/s
2023-07-05 02:00:00,2.60 m/s
2023-07-05 03:00:00,1.37 m/s
2023-07-05 04:00:00,0.990 m/s
2023-07-05 05:00:00,1.03 m/s
2023-07-05 06:00:00,0.986 m/s
2023-07-05 07:00:00,0.521 m/s
2023-07-05 08:00:00,0.443 m/s
2023-07-05 09:00:00,0.460 m/s
2023-07-05 10:00:00,0.659 m/s
2023-07-05 11:00:00,0.863 m/s
2023-07-05 12:00:00,0.793 m/s
2023-07-05 13:00:00,0.573 m/s
2023-07-05 14:00:00,1.19 m/s
2023-07-05 15:00:00,0.973 m/s
2023-07-05 16:00:00,1.37 m/s
2023-07-05 17:00:00,1.21 m/s
2023-07-05 18:00:00,2.22 m/s
