"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-04-04 17:00:00,82.6 %H
2023-04-04 18:00:00,85.0 %H
2023-04-04 19:00:00,88.7 %H
2023-04-04 20:00:00,90.1 %H
2023-04-04 21:00:00,89.7 %H
2023-04-14 14:00:00,72.1 %H
2023-04-17 16:00:00,89.3 %H
2023-04-17 17:00:00,91.2 %H
2023-04-17 18:00:00,90.9 %H
2023-04-17 19:00:00,91.5 %H
2023-04-17 20:00:00,91 %H
2023-04-17 21:00:00,85.4 %H
2023-04-17 22:00:00,84.4 %H
2023-04-17 23:00:00,85.9 %H
2023-04-18 00:00:00,86.2 %H
2023-04-18 01:00:00,82.9 %H
2023-04-18 02:00:00,85.3 %H
2023-04-18 03:00:00,90.6 %H
2023-04-18 04:00:00,87.9 %H
2023-04-18 05:00:00,90.9 %H
2023-04-18 06:00:00,92.1 %H
2023-04-18 07:00:00,93.2 %H
2023-04-18 08:00:00,92.9 %H
2023-04-18 09:00:00,87.8 %H
2023-04-18 10:00:00,81.5 %H
2023-04-18 11:00:00,77.3 %H
2023-04-18 12:00:00,70.4 %H
2023-04-18 13:00:00,70.0 %H
2023-04-18 14:00:00,74.6 %H
2023-04-18 15:00:00,74.3 %H
2023-04-18 16:00:00,74.6 %H
2023-04-18 17:00:00,74.1 %H
2023-04-18 18:00:00,75.9 %H
2023-04-18 19:00:00,81.0 %H
2023-04-18 20:00:00,83.3 %H
2023-04-18 21:00:00,83.2 %H
2023-04-18 22:00:00,87.1 %H
2023-04-18 23:00:00,90.4 %H
2023-04-19 00:00:00,90.3 %H
2023-04-19 01:00:00,92.2 %H
2023-04-19 02:00:00,92.2 %H
2023-04-19 03:00:00,92.1 %H
2023-04-19 04:00:00,93.3 %H
2023-04-19 05:00:00,94.0 %H
2023-04-19 06:00:00,93.1 %H
2023-04-19 07:00:00,92.2 %H
2023-04-19 08:00:00,90.2 %H
2023-04-19 09:00:00,87.0 %H
2023-04-19 10:00:00,82.9 %H
2023-04-19 11:00:00,80.5 %H
2023-04-19 12:00:00,79.9 %H
2023-04-19 13:00:00,77.4 %H
2023-04-19 14:00:00,74.9 %H
2023-04-19 15:00:00,79.2 %H
2023-04-19 16:00:00,90.6 %H
2023-04-19 17:00:00,88.4 %H
2023-04-19 18:00:00,88.8 %H
2023-04-19 19:00:00,86.8 %H
2023-04-19 20:00:00,87.3 %H
2023-04-19 21:00:00,86.5 %H
2023-04-19 22:00:00,88.0 %H
2023-04-19 23:00:00,88.8 %H
2023-04-20 00:00:00,88.0 %H
2023-04-20 01:00:00,87.4 %H
2023-04-20 02:00:00,89.8 %H
2023-04-20 03:00:00,88.8 %H
2023-04-20 04:00:00,90.1 %H
2023-04-20 05:00:00,91.8 %H
2023-04-20 06:00:00,93.1 %H
2023-04-20 07:00:00,95.1 %H
2023-04-20 08:00:00,92.3 %H
2023-04-20 09:00:00,85.2 %H
2023-04-20 10:00:00,82.2 %H
2023-04-20 11:00:00,79.2 %H
2023-04-20 12:00:00,77.7 %H
2023-04-20 13:00:00,75.8 %H
2023-04-20 14:00:00,77.2 %H
2023-04-20 15:00:00,83.0 %H
2023-04-20 16:00:00,83.1 %H
2023-04-20 17:00:00,85.4 %H
2023-04-20 18:00:00,83.2 %H
2023-04-20 19:00:00,86.6 %H
2023-04-20 20:00:00,86.3 %H
2023-04-20 21:00:00,85.8 %H
2023-04-20 22:00:00,88.3 %H
2023-04-20 23:00:00,94.3 %H
2023-04-21 00:00:00,96.1 %H
2023-04-21 01:00:00,96.9 %H
2023-04-21 02:00:00,97.7 %H
2023-04-21 03:00:00,97.7 %H
2023-04-21 04:00:00,97.8 %H
2023-04-21 05:00:00,98.0 %H
2023-04-21 06:00:00,98.0 %H
2023-04-21 07:00:00,97.0 %H
2023-04-21 08:00:00,93.9 %H
2023-04-21 09:00:00,91.1 %H
2023-04-21 10:00:00,85.8 %H
2023-04-21 11:00:00,84.3 %H
2023-04-21 12:00:00,80.0 %H
2023-04-21 13:00:00,79.6 %H
2023-04-21 14:00:00,79.3 %H
2023-04-21 15:00:00,75.8 %H
2023-04-21 16:00:00,72.6 %H
2023-04-21 17:00:00,74.7 %H
2023-04-21 18:00:00,82.5 %H
2023-04-21 19:00:00,88.2 %H
2023-04-21 20:00:00,91.2 %H
2023-04-21 21:00:00,88.2 %H
2023-04-21 22:00:00,85.7 %H
2023-04-21 23:00:00,88.1 %H
2023-04-22 00:00:00,91.0 %H
2023-04-22 01:00:00,91.7 %H
2023-04-22 02:00:00,92.7 %H
2023-04-22 03:00:00,93.6 %H
2023-04-22 04:00:00,94.5 %H
2023-04-22 05:00:00,94.0 %H
2023-04-22 06:00:00,95.7 %H
2023-04-22 07:00:00,96.7 %H
2023-04-22 08:00:00,94.9 %H
2023-04-22 09:00:00,85.2 %H
2023-04-22 10:00:00,81.4 %H
2023-04-22 11:00:00,80.1 %H
2023-04-22 12:00:00,81.6 %H
2023-04-22 13:00:00,87.7 %H
2023-04-22 14:00:00,83.1 %H
2023-04-22 15:00:00,80.4 %H
2023-04-22 16:00:00,86.6 %H
2023-04-22 17:00:00,93.0 %H
2023-04-22 18:00:00,95.2 %H
2023-04-22 19:00:00,93.8 %H
2023-04-22 20:00:00,92.5 %H
2023-04-22 21:00:00,93.9 %H
2023-04-22 22:00:00,93.9 %H
2023-04-22 23:00:00,96 %H
2023-04-23 00:00:00,97.5 %H
2023-04-23 01:00:00,97.7 %H
2023-04-23 02:00:00,95.4 %H
2023-04-23 03:00:00,97.4 %H
2023-04-23 04:00:00,97.8 %H
