"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-01 01:00:00,174
2023-05-01 02:00:00,207
2023-05-01 03:00:00,176
2023-05-01 04:00:00,176
2023-05-01 05:00:00,184
2023-05-01 06:00:00,235
2023-05-01 07:00:00,249
2023-05-01 08:00:00,195
2023-05-01 09:00:00,182
2023-05-01 10:00:00,182
2023-05-01 11:00:00,155
2023-05-01 12:00:00,144
2023-05-01 13:00:00,177
2023-05-01 14:00:00,253
2023-05-01 15:00:00,231
2023-05-01 16:00:00,244
2023-05-01 17:00:00,249
2023-05-01 18:00:00,224
2023-05-01 19:00:00,207
2023-05-01 20:00:00,213
2023-05-01 21:00:00,148
2023-05-01 22:00:00,207
2023-05-01 23:00:00,179
2023-05-02 00:00:00,229
2023-05-02 01:00:00,200
2023-05-02 02:00:00,194
2023-05-02 03:00:00,147
2023-05-02 04:00:00,225
2023-05-02 05:00:00,241
2023-05-02 06:00:00,211
2023-05-02 07:00:00,207
2023-05-02 08:00:00,133
2023-05-02 09:00:00,151
2023-05-02 10:00:00,229
2023-05-02 11:00:00,220
2023-05-02 12:00:00,212
2023-05-02 13:00:00,158
2023-05-02 14:00:00,177
2023-05-02 15:00:00,235
2023-05-02 16:00:00,223
2023-05-02 17:00:00,266
2023-05-02 18:00:00,242
2023-05-02 19:00:00,218
2023-05-02 20:00:00,244
2023-05-02 21:00:00,200
2023-05-02 22:00:00,199
2023-05-02 23:00:00,238
2023-05-03 00:00:00,212
2023-05-03 01:00:00,261
2023-05-03 02:00:00,168
2023-05-03 03:00:00,259
2023-05-03 04:00:00,167
2023-05-03 05:00:00,192
2023-05-03 06:00:00,291
2023-05-03 07:00:00,240
2023-05-03 08:00:00,137
2023-05-03 09:00:00,203
2023-05-03 10:00:00,260
2023-05-03 11:00:00,149
2023-05-03 12:00:00,153
2023-05-03 13:00:00,170
2023-05-03 14:00:00,146
2023-05-03 15:00:00,122
2023-05-03 16:00:00,138
2023-05-03 17:00:00,131
2023-05-03 18:00:00,140
2023-05-03 19:00:00,222
2023-05-03 20:00:00,237
2023-05-03 21:00:00,250
2023-05-03 22:00:00,229
2023-05-03 23:00:00,260
2023-05-04 00:00:00,202
2023-05-04 01:00:00,155
2023-05-04 02:00:00,202
2023-05-04 03:00:00,152
2023-05-04 04:00:00,191
2023-05-04 05:00:00,182
2023-05-04 06:00:00,168
2023-05-04 07:00:00,211
2023-05-04 08:00:00,171
2023-05-04 09:00:00,170
2023-05-04 10:00:00,108
2023-05-04 11:00:00,206
2023-05-04 12:00:00,212
2023-05-04 13:00:00,207
2023-05-04 14:00:00,183
2023-05-04 15:00:00,255
2023-05-04 16:00:00,272
2023-05-04 17:00:00,259
2023-05-04 18:00:00,226
2023-05-04 19:00:00,229
2023-05-04 20:00:00,234
2023-05-04 21:00:00,228
2023-05-04 22:00:00,267
2023-05-04 23:00:00,251
2023-05-05 00:00:00,202
2023-05-05 01:00:00,226
2023-05-05 02:00:00,242
2023-05-05 03:00:00,143
2023-05-05 04:00:00,174
2023-05-05 05:00:00,197
2023-05-05 06:00:00,239
2023-05-05 07:00:00,156
2023-05-05 08:00:00,252
2023-05-05 09:00:00,158
2023-05-05 10:00:00,156
2023-05-05 11:00:00,227
2023-05-05 12:00:00,222
2023-05-05 13:00:00,196
2023-05-05 14:00:00,225
2023-05-05 15:00:00,228
2023-05-05 16:00:00,233
2023-05-05 17:00:00,227
2023-05-05 18:00:00,226
2023-05-05 19:00:00,203
2023-05-05 20:00:00,173
2023-05-05 21:00:00,174
2023-05-05 22:00:00,231
2023-05-05 23:00:00,185
2023-05-06 00:00:00,228
2023-05-06 01:00:00,247
2023-05-06 02:00:00,238
2023-05-06 03:00:00,252
2023-05-06 04:00:00,234
2023-05-06 05:00:00,228
2023-05-06 06:00:00,224
2023-05-06 07:00:00,231
2023-05-06 08:00:00,104
2023-05-06 09:00:00,153
2023-05-06 10:00:00,125
2023-05-06 11:00:00,226
2023-05-06 12:00:00,235
2023-05-06 13:00:00,230
2023-05-06 14:00:00,274
2023-05-06 15:00:00,246
2023-05-06 16:00:00,219
2023-05-06 17:00:00,241
2023-05-06 18:00:00,223
2023-05-06 19:00:00,215
2023-05-06 20:00:00,204
2023-05-06 21:00:00,229
2023-05-06 22:00:00,234
2023-05-06 23:00:00,243
2023-05-07 00:00:00,261
2023-05-07 01:00:00,219
2023-05-07 02:00:00,247
2023-05-07 03:00:00,214
2023-05-07 04:00:00,241
2023-05-07 05:00:00,199
2023-05-07 06:00:00,206
2023-05-07 07:00:00,227
2023-05-07 08:00:00,244
2023-05-07 09:00:00,224
2023-05-07 10:00:00,179
2023-05-07 11:00:00,235
2023-05-07 12:00:00,243
2023-05-07 13:00:00,224
2023-05-07 14:00:00,236
2023-05-07 15:00:00,232
2023-05-07 16:00:00,218
2023-05-07 17:00:00,227
2023-05-07 18:00:00,209
2023-05-07 19:00:00,219
2023-05-07 20:00:00,233
2023-05-07 21:00:00,221
2023-05-07 22:00:00,179
2023-05-07 23:00:00,242
2023-05-08 00:00:00,197
2023-05-08 01:00:00,207
2023-05-08 02:00:00,200
2023-05-08 03:00:00,189
2023-05-08 04:00:00,229
2023-05-08 05:00:00,232
2023-05-08 06:00:00,205
2023-05-08 07:00:00,221
2023-05-08 08:00:00,167
2023-05-08 09:00:00,132
2023-05-08 10:00:00,150
2023-05-08 11:00:00,216
2023-05-08 12:00:00,204
2023-05-08 13:00:00,229
2023-05-08 14:00:00,191
2023-05-08 15:00:00,237
2023-05-08 16:00:00,234
2023-05-08 17:00:00,245
2023-05-08 18:00:00,235
2023-05-08 19:00:00,222
2023-05-08 20:00:00,247
2023-05-08 21:00:00,242
2023-05-08 22:00:00,241
2023-05-08 23:00:00,256
2023-05-09 00:00:00,185
2023-05-09 01:00:00,237
2023-05-09 02:00:00,232
2023-05-09 03:00:00,248
2023-05-09 04:00:00,178
2023-05-09 05:00:00,210
2023-05-09 06:00:00,239
2023-05-09 07:00:00,254
2023-05-09 08:00:00,202
2023-05-09 09:00:00,243
2023-05-09 16:00:00,208
2023-05-09 17:00:00,144
2023-05-09 18:00:00,214
2023-05-09 19:00:00,230
2023-05-09 20:00:00,254
2023-05-09 21:00:00,270
2023-05-09 22:00:00,214
2023-05-09 23:00:00,242
2023-05-10 00:00:00,276
