"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2024-01-01 00:30:00,2.20 m/s
2024-01-01 01:00:00,2.52 m/s
2024-01-01 01:30:00,2.56 m/s
2024-01-01 02:00:00,2.67 m/s
2024-01-01 02:30:00,2.35 m/s
2024-01-01 03:00:00,2.35 m/s
2024-01-01 03:30:00,2.38 m/s
2024-01-01 04:00:00,2.47 m/s
2024-01-01 04:30:00,2.31 m/s
2024-01-01 05:00:00,2.00 m/s
2024-01-01 05:30:00,2.15 m/s
2024-01-01 06:00:00,1.70 m/s
2024-01-01 06:30:00,1.16 m/s
2024-01-01 07:00:00,1.04 m/s
2024-01-01 07:30:00,1.30 m/s
2024-01-01 08:00:00,1.33 m/s
2024-01-01 08:30:00,0.471 m/s
2024-01-01 09:00:00,0.591 m/s
2024-01-01 09:30:00,1.16 m/s
2024-01-01 10:00:00,1.32 m/s
2024-01-01 10:30:00,1.76 m/s
2024-01-01 11:00:00,1.48 m/s
2024-01-01 11:30:00,0.892 m/s
2024-01-01 12:00:00,1.00 m/s
2024-01-01 12:30:00,0.853 m/s
2024-01-01 13:00:00,1.28 m/s
2024-01-01 13:30:00,0.999 m/s
2024-01-01 14:00:00,0.911 m/s
2024-01-01 14:30:00,0.781 m/s
2024-01-01 15:00:00,0.996 m/s
2024-01-01 15:30:00,0.815 m/s
2024-01-01 16:00:00,1.00 m/s
2024-01-01 16:30:00,0.715 m/s
2024-01-01 17:00:00,0.379 m/s
2024-01-01 17:30:00,0.619 m/s
2024-01-01 18:00:00,0.353 m/s
2024-01-01 18:30:00,0.861 m/s
2024-01-01 19:00:00,1.47 m/s
2024-01-01 19:30:00,1.69 m/s
2024-01-01 20:00:00,1.83 m/s
2024-01-01 20:30:00,1.41 m/s
2024-01-01 21:00:00,1.26 m/s
2024-01-01 21:30:00,1.97 m/s
2024-01-01 22:00:00,1.85 m/s
2024-01-01 22:30:00,1.58 m/s
2024-01-01 23:00:00,1.83 m/s
2024-01-01 23:30:00,2.12 m/s
2024-01-02 00:00:00,2.48 m/s
2024-01-02 00:30:00,2.69 m/s
2024-01-02 01:00:00,2.98 m/s
2024-01-02 01:30:00,2.79 m/s
2024-01-02 02:00:00,2.12 m/s
2024-01-02 02:30:00,1.48 m/s
2024-01-02 03:00:00,2.00 m/s
2024-01-02 03:30:00,2.52 m/s
2024-01-02 04:00:00,2.22 m/s
2024-01-02 04:30:00,1.48 m/s
2024-01-02 05:00:00,1.43 m/s
2024-01-02 05:30:00,1.67 m/s
2024-01-02 06:00:00,0.784 m/s
2024-01-02 06:30:00,0.891 m/s
2024-01-02 07:00:00,0.484 m/s
2024-01-02 07:30:00,0.197 m/s
2024-01-02 08:00:00,0.234 m/s
2024-01-02 08:30:00,0.0333 m/s
2024-01-02 09:00:00,0.359 m/s
2024-01-02 09:30:00,0.693 m/s
2024-01-02 10:00:00,0.852 m/s
2024-01-02 10:30:00,0.639 m/s
2024-01-02 11:00:00,0.870 m/s
2024-01-02 11:30:00,1.11 m/s
2024-01-02 12:00:00,1.25 m/s
2024-01-02 12:30:00,1.10 m/s
2024-01-02 13:00:00,1.34 m/s
2024-01-02 13:30:00,1.50 m/s
2024-01-02 14:00:00,1.15 m/s
2024-01-02 14:30:00,1.09 m/s
2024-01-02 15:00:00,1.32 m/s
2024-01-02 15:30:00,1.32 m/s
2024-01-02 16:00:00,1.16 m/s
2024-01-02 16:30:00,1.49 m/s
2024-01-02 17:00:00,1.10 m/s
2024-01-02 17:30:00,1.34 m/s
2024-01-02 18:00:00,0.877 m/s
2024-01-02 18:30:00,0.647 m/s
2024-01-02 19:00:00,0.521 m/s
2024-01-02 19:30:00,0.413 m/s
2024-01-02 20:00:00,0.661 m/s
2024-01-02 20:30:00,1.06 m/s
2024-01-02 21:00:00,1.33 m/s
2024-01-02 21:30:00,1.29 m/s
2024-01-02 22:00:00,1.48 m/s
2024-01-02 22:30:00,1.33 m/s
2024-01-02 23:00:00,1.69 m/s
2024-01-02 23:30:00,1.45 m/s
2024-01-03 00:00:00,0.775 m/s
2024-01-03 00:30:00,0.974 m/s
2024-01-03 01:00:00,1.09 m/s
2024-01-03 01:30:00,1.42 m/s
2024-01-03 02:00:00,0.974 m/s
2024-01-03 02:30:00,1.11 m/s
2024-01-03 03:00:00,1.38 m/s
2024-01-03 03:30:00,1.83 m/s
2024-01-03 04:00:00,2.17 m/s
2024-01-03 04:30:00,2.70 m/s
2024-01-03 05:00:00,2.15 m/s
2024-01-03 05:30:00,1.88 m/s
2024-01-03 06:00:00,1.59 m/s
2024-01-03 06:30:00,1.75 m/s
2024-01-03 07:00:00,1.45 m/s
2024-01-03 07:30:00,1.41 m/s
2024-01-03 08:00:00,1.17 m/s
2024-01-03 08:30:00,1.39 m/s
2024-01-03 09:00:00,1.12 m/s
2024-01-03 09:30:00,1.53 m/s
2024-01-03 10:00:00,0.955 m/s
2024-01-03 10:30:00,1.21 m/s
2024-01-03 11:00:00,1.14 m/s
2024-01-03 11:30:00,1.45 m/s
2024-01-03 12:00:00,1.39 m/s
2024-01-03 12:30:00,0.831 m/s
2024-01-03 13:00:00,0.883 m/s
2024-01-03 13:30:00,0.532 m/s
2024-01-03 14:00:00,0.882 m/s
2024-01-03 14:30:00,0.946 m/s
2024-01-03 15:00:00,0.752 m/s
2024-01-03 15:30:00,0.799 m/s
2024-01-03 16:00:00,0.805 m/s
2024-01-03 16:30:00,0.813 m/s
2024-01-03 17:00:00,0.656 m/s
2024-01-03 17:30:00,0.308 m/s
2024-01-03 18:00:00,0.351 m/s
2024-01-03 18:30:00,0.659 m/s
2024-01-03 19:00:00,0.873 m/s
2024-01-03 19:30:00,0.500 m/s
2024-01-03 20:00:00,0.505 m/s
2024-01-03 20:30:00,0.470 m/s
2024-01-03 21:00:00,0.704 m/s
