"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-07-01 01:00:00,87.9 %H
2023-07-01 02:00:00,88.3 %H
2023-07-01 03:00:00,89.0 %H
2023-07-01 04:00:00,89.2 %H
2023-07-01 05:00:00,89.5 %H
2023-07-01 06:00:00,89.4 %H
2023-07-01 07:00:00,89.1 %H
2023-07-01 08:00:00,87.3 %H
2023-07-01 09:00:00,85.3 %H
2023-07-01 10:00:00,82.3 %H
2023-07-01 11:00:00,76.6 %H
2023-07-01 12:00:00,72.4 %H
2023-07-01 13:00:00,73.6 %H
2023-07-01 14:00:00,72.7 %H
2023-07-01 15:00:00,72.2 %H
2023-07-01 16:00:00,73.2 %H
2023-07-01 17:00:00,73.7 %H
2023-07-01 18:00:00,77.7 %H
2023-07-01 19:00:00,81.3 %H
2023-07-01 20:00:00,84.2 %H
2023-07-01 21:00:00,86.2 %H
2023-07-01 22:00:00,87.1 %H
2023-07-01 23:00:00,88.2 %H
2023-07-02 00:00:00,88.1 %H
2023-07-02 01:00:00,87.6 %H
2023-07-02 02:00:00,88.1 %H
2023-07-02 03:00:00,88.1 %H
2023-07-02 04:00:00,89.2 %H
2023-07-02 05:00:00,89.2 %H
2023-07-02 06:00:00,89.5 %H
2023-07-02 07:00:00,89.5 %H
2023-07-02 08:00:00,89.2 %H
2023-07-02 09:00:00,88.3 %H
2023-07-02 10:00:00,86.0 %H
2023-07-02 11:00:00,85.4 %H
2023-07-02 12:00:00,83.8 %H
2023-07-02 13:00:00,83.1 %H
2023-07-02 14:00:00,83.0 %H
2023-07-02 15:00:00,81.1 %H
2023-07-02 16:00:00,82.4 %H
2023-07-02 17:00:00,87.5 %H
2023-07-02 18:00:00,85.8 %H
2023-07-02 19:00:00,85.6 %H
2023-07-02 20:00:00,85.4 %H
2023-07-02 21:00:00,86.7 %H
2023-07-02 22:00:00,87.0 %H
2023-07-02 23:00:00,86.9 %H
2023-07-03 00:00:00,86.7 %H
2023-07-03 01:00:00,86.3 %H
2023-07-03 02:00:00,89.1 %H
2023-07-03 03:00:00,96.9 %H
2023-07-03 04:00:00,99.9 %H
2023-07-03 05:00:00,99.9 %H
2023-07-03 06:00:00,99.9 %H
2023-07-03 07:00:00,99.9 %H
2023-07-03 08:00:00,99.9 %H
2023-07-03 09:00:00,98.1 %H
2023-07-03 10:00:00,90.9 %H
2023-07-03 11:00:00,88.4 %H
2023-07-03 12:00:00,89.2 %H
2023-07-03 13:00:00,88.6 %H
2023-07-03 14:00:00,87.7 %H
2023-07-03 15:00:00,85.5 %H
2023-07-03 16:00:00,86.3 %H
2023-07-03 17:00:00,84.0 %H
2023-07-03 18:00:00,87.1 %H
2023-07-03 19:00:00,90.4 %H
2023-07-03 20:00:00,92.3 %H
2023-07-03 21:00:00,93.0 %H
2023-07-03 22:00:00,91.6 %H
2023-07-03 23:00:00,91.3 %H
2023-07-04 00:00:00,90.7 %H
2023-07-04 01:00:00,89.9 %H
2023-07-04 02:00:00,89.7 %H
2023-07-04 03:00:00,88.7 %H
2023-07-04 04:00:00,90.5 %H
2023-07-04 05:00:00,92.4 %H
2023-07-04 06:00:00,94.0 %H
2023-07-04 07:00:00,97.6 %H
2023-07-04 08:00:00,96.6 %H
2023-07-04 09:00:00,86.9 %H
2023-07-04 10:00:00,84.5 %H
2023-07-04 11:00:00,84.6 %H
2023-07-04 12:00:00,79.8 %H
2023-07-04 13:00:00,80.6 %H
2023-07-04 14:00:00,80.5 %H
2023-07-04 15:00:00,80.2 %H
2023-07-04 16:00:00,78.6 %H
2023-07-04 17:00:00,80.1 %H
2023-07-04 18:00:00,81.9 %H
2023-07-04 19:00:00,84.6 %H
2023-07-04 20:00:00,87.3 %H
2023-07-04 21:00:00,87.0 %H
2023-07-04 22:00:00,86.9 %H
2023-07-04 23:00:00,85.7 %H
2023-07-05 00:00:00,86.5 %H
2023-07-05 01:00:00,92.6 %H
2023-07-05 02:00:00,93.3 %H
2023-07-05 03:00:00,91.9 %H
2023-07-05 04:00:00,89.8 %H
2023-07-05 05:00:00,90.6 %H
2023-07-05 06:00:00,91.7 %H
2023-07-05 07:00:00,97.5 %H
2023-07-05 08:00:00,96.9 %H
2023-07-05 09:00:00,87.1 %H
2023-07-05 10:00:00,82.4 %H
2023-07-05 11:00:00,78.8 %H
2023-07-05 12:00:00,78.3 %H
2023-07-05 13:00:00,77.3 %H
2023-07-05 14:00:00,75.6 %H
2023-07-05 15:00:00,74.1 %H
2023-07-05 16:00:00,74.7 %H
2023-07-05 17:00:00,76.8 %H
2023-07-05 18:00:00,82.8 %H
2023-07-05 19:00:00,90.7 %H
2023-07-05 20:00:00,98.7 %H
2023-07-05 21:00:00,99.9 %H
2023-07-05 22:00:00,99.9 %H
2023-07-05 23:00:00,99.9 %H
2023-07-06 00:00:00,99.9 %H
2023-07-06 01:00:00,99.9 %H
2023-07-06 02:00:00,99.9 %H
2023-07-06 03:00:00,99.9 %H
2023-07-06 04:00:00,99.9 %H
2023-07-06 05:00:00,99.9 %H
2023-07-06 06:00:00,99.9 %H
2023-07-06 07:00:00,99.9 %H
2023-07-06 08:00:00,99.9 %H
2023-07-06 09:00:00,92.6 %H
2023-07-06 10:00:00,87.7 %H
2023-07-06 11:00:00,84.9 %H
2023-07-06 12:00:00,81.4 %H
2023-07-06 13:00:00,85.4 %H
2023-07-06 14:00:00,86.1 %H
2023-07-06 15:00:00,87.7 %H
2023-07-06 16:00:00,90.8 %H
2023-07-06 17:00:00,94.5 %H
2023-07-06 18:00:00,93.7 %H
2023-07-06 19:00:00,94.7 %H
2023-07-06 20:00:00,98.6 %H
2023-07-06 21:00:00,99.0 %H
2023-07-06 22:00:00,98.4 %H
2023-07-06 23:00:00,99.9 %H
2023-07-07 00:00:00,99.9 %H
2023-07-07 01:00:00,99.9 %H
2023-07-07 02:00:00,99.9 %H
2023-07-07 03:00:00,99.9 %H
2023-07-07 04:00:00,99.9 %H
2023-07-07 05:00:00,99.9 %H
2023-07-07 06:00:00,99.9 %H
2023-07-07 07:00:00,99.9 %H
2023-07-07 08:00:00,99.9 %H
2023-07-07 09:00:00,99.2 %H
2023-07-07 10:00:00,90.7 %H
2023-07-07 11:00:00,84.8 %H
2023-07-07 12:00:00,80.6 %H
2023-07-07 13:00:00,81.0 %H
2023-07-07 14:00:00,81.4 %H
2023-07-07 15:00:00,79.5 %H
2023-07-07 16:00:00,82.1 %H
2023-07-07 17:00:00,85.6 %H
2023-07-07 18:00:00,96.6 %H
2023-07-07 19:00:00,99.9 %H
2023-07-07 20:00:00,99.9 %H
2023-07-07 21:00:00,99.9 %H
2023-07-07 22:00:00,99.9 %H
2023-07-07 23:00:00,99.9 %H
2023-07-08 00:00:00,99.9 %H
2023-07-08 01:00:00,99.9 %H
2023-07-08 02:00:00,99.9 %H
2023-07-08 03:00:00,99.9 %H
2023-07-08 04:00:00,99.9 %H
2023-07-08 05:00:00,99.9 %H
2023-07-08 06:00:00,99.9 %H
2023-07-08 07:00:00,99.9 %H
2023-07-08 08:00:00,99.9 %H
2023-07-08 09:00:00,99.9 %H
2023-07-08 10:00:00,99.9 %H
2023-07-08 11:00:00,94.5 %H
2023-07-08 12:00:00,87.8 %H
2023-07-08 13:00:00,84.6 %H
2023-07-08 14:00:00,83.3 %H
2023-07-08 15:00:00,83.8 %H
2023-07-08 16:00:00,83.2 %H
2023-07-08 17:00:00,83.6 %H
2023-07-08 18:00:00,84.8 %H
2023-07-08 19:00:00,89.7 %H
2023-07-08 20:00:00,92.0 %H
2023-07-08 21:00:00,91.5 %H
2023-07-08 22:00:00,91.3 %H
2023-07-08 23:00:00,92.4 %H
2023-07-09 00:00:00,93.0 %H
2023-07-09 01:00:00,93.8 %H

