"Time","atm_temp {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-04-20 05:00:00,24.5 °C
2023-04-20 06:00:00,24.4 °C
2023-04-20 07:00:00,24.2 °C
2023-04-20 08:00:00,24.8 °C
2023-04-20 09:00:00,26.8 °C
2023-04-20 10:00:00,27.9 °C
2023-04-20 11:00:00,28.9 °C
2023-04-20 12:00:00,29.4 °C
2023-04-20 13:00:00,30.3 °C
2023-04-20 14:00:00,30.2 °C
2023-04-20 15:00:00,28.9 °C
2023-04-20 16:00:00,28.5 °C
2023-04-20 17:00:00,26.9 °C
2023-04-20 18:00:00,27.4 °C
2023-04-20 19:00:00,26.3 °C
2023-04-20 20:00:00,26.1 °C
2023-04-20 21:00:00,26.0 °C
2023-04-20 22:00:00,24.5 °C
2023-04-20 23:00:00,23.4 °C
2023-04-21 00:00:00,23.0 °C
2023-04-21 01:00:00,22.9 °C
2023-04-21 02:00:00,22.9 °C
2023-04-21 03:00:00,22.7 °C
2023-04-21 04:00:00,22.6 °C
2023-04-21 05:00:00,22.6 °C
2023-04-21 06:00:00,22.5 °C
2023-04-21 07:00:00,22.5 °C
2023-04-21 08:00:00,23.4 °C
2023-04-21 09:00:00,24.9 °C
2023-04-21 10:00:00,25.9 °C
2023-04-21 11:00:00,26.7 °C
2023-04-21 12:00:00,27.7 °C
2023-04-21 13:00:00,28.5 °C
2023-04-21 14:00:00,28.6 °C
2023-04-21 15:00:00,29.6 °C
2023-04-21 16:00:00,30.2 °C
2023-04-21 17:00:00,29.6 °C
2023-04-21 18:00:00,28.1 °C
2023-04-21 19:00:00,26.6 °C
2023-04-21 20:00:00,25.5 °C
2023-04-21 21:00:00,25.7 °C
2023-04-21 22:00:00,26.4 °C
2023-04-21 23:00:00,26.1 °C
2023-04-22 00:00:00,25.4 °C
2023-04-22 01:00:00,25.0 °C
2023-04-22 02:00:00,24.8 °C
2023-04-22 03:00:00,24.5 °C
2023-04-22 04:00:00,24.4 °C
2023-04-22 05:00:00,24.7 °C
2023-04-22 06:00:00,24.4 °C
2023-04-22 07:00:00,24.3 °C
2023-04-22 08:00:00,25.1 °C
2023-04-22 09:00:00,27.3 °C
2023-04-22 10:00:00,28.5 °C
2023-04-22 11:00:00,28.9 °C
2023-04-22 12:00:00,28.4 °C
2023-04-22 13:00:00,27.1 °C
2023-04-22 14:00:00,29.0 °C
2023-04-22 15:00:00,28.8 °C
2023-04-22 16:00:00,25.6 °C
2023-04-22 17:00:00,24.4 °C
2023-04-22 18:00:00,24.2 °C
2023-04-22 19:00:00,24.4 °C
2023-04-22 20:00:00,24.7 °C
2023-04-22 21:00:00,24.5 °C
2023-04-22 22:00:00,24.4 °C
2023-04-22 23:00:00,23.9 °C
2023-04-23 00:00:00,23.5 °C
2023-04-23 01:00:00,23.4 °C
2023-04-23 02:00:00,22.7 °C
2023-04-23 03:00:00,22.6 °C
2023-04-23 04:00:00,22.6 °C
2023-04-23 05:00:00,22.4 °C
2023-04-23 06:00:00,22.6 °C
2023-04-23 07:00:00,22.8 °C
2023-04-23 08:00:00,23.2 °C
2023-04-23 09:00:00,23.7 °C
2023-04-23 10:00:00,24.1 °C
2023-04-23 11:00:00,24.7 °C
2023-04-23 12:00:00,26.0 °C
2023-04-23 13:00:00,26.8 °C
2023-04-23 14:00:00,27.1 °C
2023-04-23 15:00:00,27.5 °C
2023-04-23 16:00:00,27.1 °C
2023-04-23 17:00:00,26.4 °C
2023-04-23 18:00:00,26.0 °C
2023-04-23 19:00:00,25.2 °C
2023-04-23 20:00:00,25.3 °C
2023-04-23 21:00:00,25.6 °C
2023-04-23 22:00:00,25.3 °C
2023-04-23 23:00:00,25.1 °C
2023-04-24 00:00:00,25.1 °C
2023-04-24 01:00:00,24.6 °C
2023-04-24 02:00:00,24.3 °C
2023-04-24 03:00:00,24.2 °C
2023-04-24 04:00:00,24.2 °C
2023-04-24 05:00:00,24.1 °C
2023-04-24 06:00:00,24.0 °C
2023-04-24 07:00:00,23.9 °C
2023-04-24 08:00:00,24.9 °C
2023-04-24 09:00:00,27.3 °C
2023-04-24 10:00:00,28.3 °C
2023-04-24 11:00:00,28.8 °C
2023-04-24 12:00:00,29.5 °C
2023-04-24 13:00:00,29.1 °C
2023-04-24 14:00:00,29.9 °C
2023-04-24 15:00:00,30.4 °C
2023-04-24 16:00:00,31.2 °C
2023-04-24 17:00:00,31.1 °C
2023-04-24 18:00:00,29.3 °C
2023-04-24 19:00:00,27.1 °C
2023-04-24 20:00:00,26.5 °C
2023-04-24 21:00:00,26.0 °C
2023-04-24 22:00:00,25.5 °C
2023-04-24 23:00:00,25.5 °C
2023-04-25 00:00:00,25.5 °C
2023-04-25 01:00:00,25.1 °C
2023-04-25 02:00:00,25.1 °C
2023-04-25 03:00:00,24.7 °C
2023-04-25 04:00:00,24.5 °C
2023-04-25 05:00:00,25.0 °C
2023-04-25 06:00:00,24.1 °C
2023-04-25 07:00:00,24.1 °C
2023-04-25 08:00:00,25.4 °C
2023-04-25 09:00:00,27.2 °C
2023-04-25 10:00:00,28.0 °C
2023-04-25 11:00:00,29.4 °C
