"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2024-01-01 00:30:00,95.9 %H
2024-01-01 01:00:00,97.8 %H
2024-01-01 01:30:00,99.2 %H
2024-01-01 02:00:00,99.0 %H
2024-01-01 02:30:00,98.6 %H
2024-01-01 03:00:00,98.1 %H
2024-01-01 03:30:00,97.8 %H
2024-01-01 04:00:00,97.6 %H
2024-01-01 04:30:00,96.8 %H
2024-01-01 05:00:00,94.2 %H
2024-01-01 05:30:00,92.7 %H
2024-01-01 06:00:00,92.0 %H
2024-01-01 06:30:00,92.1 %H
2024-01-01 07:00:00,91.6 %H
2024-01-01 07:30:00,92.2 %H
2024-01-01 08:00:00,93.5 %H
2024-01-01 08:30:00,92.4 %H
2024-01-01 09:00:00,90.7 %H
2024-01-01 09:30:00,88.5 %H
2024-01-01 10:00:00,86.6 %H
2024-01-01 10:30:00,85.8 %H
2024-01-01 11:00:00,83.4 %H
2024-01-01 11:30:00,82.7 %H
2024-01-01 12:00:00,82.4 %H
2024-01-01 12:30:00,81.7 %H
2024-01-01 13:00:00,83.5 %H
2024-01-01 13:30:00,84.1 %H
2024-01-01 14:00:00,83.8 %H
2024-01-01 14:30:00,83.4 %H
2024-01-01 15:00:00,82.2 %H
2024-01-01 15:30:00,81.7 %H
2024-01-01 16:00:00,82.0 %H
2024-01-01 16:30:00,82.9 %H
2024-01-01 17:00:00,82.9 %H
2024-01-01 17:30:00,82.6 %H
2024-01-01 18:00:00,83.0 %H
2024-01-01 18:30:00,84.2 %H
2024-01-01 19:00:00,86.5 %H
2024-01-01 19:30:00,87.3 %H
2024-01-01 20:00:00,86.9 %H
2024-01-01 20:30:00,86.3 %H
2024-01-01 21:00:00,85.6 %H
2024-01-01 21:30:00,87.3 %H
2024-01-01 22:00:00,88.5 %H
2024-01-01 22:30:00,88.8 %H
2024-01-01 23:00:00,89.6 %H
2024-01-01 23:30:00,90.7 %H
2024-01-02 00:00:00,91.2 %H
2024-01-02 00:30:00,92.2 %H
2024-01-02 01:00:00,92.4 %H
2024-01-02 01:30:00,92.6 %H
2024-01-02 02:00:00,94.1 %H
2024-01-02 02:30:00,94.8 %H
2024-01-02 03:00:00,95.4 %H
2024-01-02 03:30:00,96.0 %H
2024-01-02 04:00:00,96.4 %H
2024-01-02 04:30:00,96.6 %H
2024-01-02 05:00:00,96.5 %H
2024-01-02 05:30:00,95.9 %H
2024-01-02 06:00:00,94.3 %H
2024-01-02 06:30:00,91.7 %H
2024-01-02 07:00:00,90.9 %H
2024-01-02 07:30:00,90.9 %H
2024-01-02 08:00:00,90.7 %H
2024-01-02 08:30:00,89.5 %H
2024-01-02 09:00:00,87.7 %H
2024-01-02 09:30:00,85.8 %H
2024-01-02 10:00:00,83.8 %H
2024-01-02 10:30:00,82.1 %H
2024-01-02 11:00:00,80.0 %H
2024-01-02 11:30:00,78.1 %H
2024-01-02 12:00:00,76.3 %H
2024-01-02 12:30:00,74.9 %H
2024-01-02 13:00:00,75.1 %H
2024-01-02 13:30:00,76.2 %H
2024-01-02 14:00:00,76.0 %H
2024-01-02 14:30:00,75.1 %H
2024-01-02 15:00:00,75.2 %H
2024-01-02 15:30:00,77.5 %H
2024-01-02 16:00:00,79.5 %H
2024-01-02 16:30:00,81.4 %H
2024-01-02 17:00:00,82.0 %H
2024-01-02 17:30:00,83.1 %H
2024-01-02 18:00:00,83.6 %H
2024-01-02 18:30:00,84.0 %H
2024-01-02 19:00:00,84.6 %H
2024-01-02 19:30:00,85.3 %H
2024-01-02 20:00:00,89.6 %H
2024-01-02 20:30:00,96.9 %H
2024-01-02 21:00:00,99.9 %H
2024-01-02 21:30:00,99.9 %H
2024-01-02 22:00:00,99.9 %H
2024-01-02 22:30:00,99.9 %H
2024-01-02 23:00:00,99.9 %H
2024-01-02 23:30:00,99.9 %H
2024-01-03 00:00:00,99.9 %H
2024-01-03 00:30:00,99.9 %H
2024-01-03 01:00:00,99.9 %H
2024-01-03 01:30:00,99.9 %H
2024-01-03 02:00:00,99.9 %H
2024-01-03 02:30:00,99.9 %H
2024-01-03 03:00:00,99.9 %H
2024-01-03 03:30:00,99.9 %H
2024-01-03 04:00:00,99.9 %H
2024-01-03 04:30:00,99.9 %H
2024-01-03 05:00:00,99.9 %H
2024-01-03 05:30:00,99.9 %H
2024-01-03 06:00:00,99.9 %H
2024-01-03 06:30:00,98.8 %H
2024-01-03 07:00:00,98.4 %H
2024-01-03 07:30:00,97.5 %H
2024-01-03 08:00:00,96.2 %H
2024-01-03 08:30:00,94.1 %H
2024-01-03 09:00:00,92.4 %H
2024-01-03 09:30:00,88.1 %H
2024-01-03 10:00:00,86.1 %H
2024-01-03 10:30:00,84.4 %H
2024-01-03 11:00:00,81.9 %H
2024-01-03 11:30:00,80.5 %H
2024-01-03 12:00:00,80.0 %H
2024-01-03 12:30:00,79.8 %H
2024-01-03 13:00:00,80.1 %H
2024-01-03 13:30:00,79.7 %H
2024-01-03 14:00:00,79.9 %H
2024-01-03 14:30:00,81.0 %H
2024-01-03 15:00:00,82.6 %H
2024-01-03 15:30:00,83.2 %H
2024-01-03 16:00:00,84.2 %H
2024-01-03 16:30:00,85.8 %H
2024-01-03 17:00:00,85.3 %H
2024-01-03 17:30:00,84.3 %H
2024-01-03 18:00:00,84.1 %H
2024-01-03 18:30:00,85.5 %H
2024-01-03 19:00:00,86.5 %H
2024-01-03 19:30:00,86.5 %H
2024-01-03 20:00:00,88.3 %H
2024-01-03 20:30:00,89.3 %H
2024-01-03 21:00:00,88.7 %H
2024-01-03 21:30:00,89.8 %H
2024-01-03 22:00:00,92.4 %H
2024-01-03 22:30:00,94.8 %H
2024-01-03 23:00:00,98.2 %H
2024-01-03 23:30:00,97.7 %H
2024-01-04 00:00:00,94.9 %H
2024-01-04 00:30:00,94.1 %H
2024-01-04 01:00:00,95.2 %H
2024-01-04 01:30:00,96.2 %H
2024-01-04 02:00:00,96.3 %H
2024-01-04 02:30:00,98.2 %H
2024-01-04 03:00:00,97.8 %H
2024-01-04 03:30:00,98.0 %H
2024-01-04 04:00:00,97.7 %H
2024-01-04 04:30:00,98.8 %H
2024-01-04 05:00:00,99.9 %H
2024-01-04 05:30:00,99.9 %H
2024-01-04 06:00:00,99.9 %H
2024-01-04 06:30:00,99.9 %H
2024-01-04 07:00:00,99.9 %H
2024-01-04 07:30:00,99.9 %H
2024-01-04 08:00:00,99.4 %H
2024-01-04 08:30:00,97.1 %H
2024-01-04 09:00:00,93.5 %H
2024-01-04 09:30:00,88.4 %H
2024-01-04 10:00:00,85.5 %H
2024-01-04 10:30:00,88.6 %H
2024-01-04 11:00:00,87.3 %H
2024-01-04 11:30:00,86.0 %H
2024-01-04 12:00:00,87.0 %H
2024-01-04 12:30:00,87.0 %H
2024-01-04 13:00:00,86.7 %H
2024-01-04 13:30:00,84.1 %H
2024-01-04 14:00:00,84.3 %H
2024-01-04 14:30:00,84.5 %H
2024-01-04 15:00:00,81.9 %H
2024-01-04 15:30:00,81.2 %H
2024-01-04 16:00:00,81.2 %H
2024-01-04 16:30:00,81.4 %H
2024-01-04 17:00:00,81.3 %H
2024-01-04 17:30:00,81.9 %H
2024-01-04 18:00:00,82.5 %H
2024-01-04 18:30:00,82.5 %H
2024-01-04 19:00:00,82.4 %H
2024-01-04 19:30:00,83.3 %H
2024-01-04 20:00:00,83.4 %H
2024-01-04 20:30:00,83.0 %H
2024-01-04 21:00:00,83.4 %H
2024-01-04 21:30:00,83.9 %H
2024-01-04 22:00:00,84.3 %H
2024-01-04 22:30:00,87.1 %H
2024-01-04 23:00:00,88.8 %H
2024-01-04 23:30:00,90.7 %H
2024-01-05 00:00:00,92.4 %H
2024-01-05 00:30:00,93.6 %H
2024-01-05 01:00:00,94.6 %H
2024-01-05 01:30:00,94.0 %H
2024-01-05 02:00:00,92.1 %H
2024-01-05 02:30:00,92.1 %H
2024-01-05 03:00:00,92.7 %H
2024-01-05 03:30:00,93.3 %H
2024-01-05 04:00:00,94.4 %H
2024-01-05 04:30:00,95.3 %H
2024-01-05 05:00:00,97.1 %H
2024-01-05 05:30:00,98.6 %H
2024-01-05 06:00:00,98.9 %H
2024-01-05 06:30:00,99.3 %H
2024-01-05 07:00:00,99.9 %H
2024-01-05 07:30:00,99.9 %H
2024-01-05 08:00:00,97.6 %H
2024-01-05 08:30:00,92.9 %H
2024-01-05 09:00:00,88.8 %H
2024-01-05 09:30:00,86.2 %H
2024-01-05 10:00:00,84.1 %H
2024-01-05 10:30:00,84.2 %H
2024-01-05 11:00:00,83.7 %H
2024-01-05 11:30:00,83.7 %H
2024-01-05 12:00:00,83.4 %H
2024-01-05 12:30:00,82.7 %H
2024-01-05 13:00:00,82.2 %H
2024-01-05 13:30:00,80.5 %H
2024-01-05 14:00:00,80.3 %H
2024-01-05 14:30:00,79.3 %H
2024-01-05 15:00:00,78.0 %H
2024-01-05 15:30:00,77.6 %H
2024-01-05 16:00:00,77.0 %H
2024-01-05 16:30:00,76.1 %H
2024-01-05 17:00:00,74.3 %H
2024-01-05 17:30:00,73.7 %H
2024-01-05 18:00:00,74.3 %H
2024-01-05 18:30:00,77.7 %H
2024-01-05 19:00:00,80.1 %H
2024-01-05 19:30:00,81.1 %H
2024-01-05 20:00:00,82.0 %H
2024-01-05 20:30:00,82.9 %H
2024-01-05 21:00:00,84.9 %H
2024-01-05 21:30:00,86.3 %H
2024-01-05 22:00:00,87.4 %H
2024-01-05 22:30:00,89.3 %H
2024-01-05 23:00:00,90.9 %H
2024-01-05 23:30:00,91.7 %H
2024-01-06 00:00:00,92.2 %H
2024-01-06 00:30:00,94.2 %H
2024-01-06 01:00:00,97.5 %H
2024-01-06 01:30:00,99.0 %H
2024-01-06 02:00:00,99.9 %H
2024-01-06 02:30:00,99.9 %H
2024-01-06 03:00:00,99.9 %H
2024-01-06 03:30:00,99.9 %H
2024-01-06 04:00:00,99.9 %H
2024-01-06 04:30:00,99.9 %H
2024-01-06 05:00:00,99.9 %H
2024-01-06 05:30:00,99.7 %H
2024-01-06 06:00:00,97.9 %H
2024-01-06 06:30:00,97.0 %H
2024-01-06 07:00:00,96.9 %H
2024-01-06 07:30:00,96.7 %H
2024-01-06 08:00:00,95.6 %H
2024-01-06 08:30:00,94.1 %H
2024-01-06 09:00:00,92.2 %H
2024-01-06 09:30:00,88.9 %H
2024-01-06 10:00:00,87.7 %H
2024-01-06 10:30:00,86.5 %H
2024-01-06 11:00:00,83.6 %H
2024-01-06 11:30:00,83.5 %H
2024-01-06 12:00:00,82.8 %H
2024-01-06 12:30:00,82.7 %H
2024-01-06 13:00:00,82.6 %H
2024-01-06 13:30:00,83.1 %H
2024-01-06 14:00:00,85.8 %H
2024-01-06 14:30:00,90.4 %H
2024-01-06 15:00:00,85.8 %H
2024-01-06 15:30:00,85.7 %H
2024-01-06 16:00:00,84.3 %H
2024-01-06 16:30:00,82.5 %H
2024-01-06 17:00:00,82.9 %H
2024-01-06 17:30:00,85.4 %H
2024-01-06 18:00:00,85.8 %H
2024-01-06 18:30:00,86.3 %H
2024-01-06 19:00:00,88.2 %H
2024-01-06 19:30:00,89.5 %H
2024-01-06 20:00:00,90.7 %H
2024-01-06 20:30:00,90.3 %H
2024-01-06 21:00:00,89.4 %H
2024-01-06 21:30:00,89.4 %H
2024-01-06 22:00:00,90.9 %H
2024-01-06 22:30:00,90.2 %H
2024-01-06 23:00:00,89.0 %H
2024-01-06 23:30:00,90.0 %H
2024-01-07 00:00:00,94.5 %H
2024-01-07 00:30:00,96.4 %H
2024-01-07 01:00:00,96.5 %H
2024-01-07 01:30:00,93.9 %H
2024-01-07 02:00:00,91.8 %H
2024-01-07 02:30:00,92.8 %H
2024-01-07 03:00:00,93.9 %H
2024-01-07 03:30:00,93.4 %H
2024-01-07 04:00:00,92.2 %H
2024-01-07 04:30:00,92.0 %H
2024-01-07 05:00:00,92.1 %H
2024-01-07 05:30:00,92.7 %H
2024-01-07 06:00:00,92.4 %H
2024-01-07 06:30:00,91.7 %H
2024-01-07 07:00:00,91.4 %H
2024-01-07 07:30:00,90.4 %H
2024-01-07 08:00:00,89.9 %H
2024-01-07 08:30:00,89.5 %H
2024-01-07 09:00:00,88.9 %H
2024-01-07 09:30:00,87.8 %H
2024-01-07 10:00:00,85.3 %H
2024-01-07 10:30:00,84.3 %H
2024-01-07 11:00:00,83.2 %H
2024-01-07 11:30:00,81.9 %H
2024-01-07 12:00:00,81.6 %H
2024-01-07 12:30:00,81.8 %H
2024-01-07 13:00:00,80.2 %H
2024-01-07 13:30:00,78.3 %H
2024-01-07 14:00:00,78.1 %H
2024-01-07 14:30:00,79.7 %H
2024-01-07 15:00:00,82.3 %H
2024-01-07 15:30:00,81.6 %H
2024-01-07 16:00:00,83.5 %H
2024-01-07 16:30:00,85.4 %H
2024-01-07 17:00:00,85.1 %H
2024-01-07 17:30:00,83.7 %H
2024-01-07 18:00:00,83.8 %H
2024-01-07 18:30:00,83.5 %H
2024-01-07 19:00:00,83.3 %H
2024-01-07 19:30:00,84.0 %H
2024-01-07 20:00:00,86.3 %H
2024-01-07 20:30:00,87.3 %H
2024-01-07 21:00:00,87.9 %H
2024-01-07 21:30:00,88.9 %H
2024-01-07 22:00:00,90.8 %H
2024-01-07 22:30:00,92.2 %H
2024-01-07 23:00:00,93.0 %H
2024-01-07 23:30:00,93.6 %H
2024-01-08 00:00:00,94.0 %H
2024-01-08 00:30:00,94.4 %H
2024-01-08 01:00:00,94.8 %H
2024-01-08 01:30:00,92.3 %H
2024-01-08 02:00:00,91.0 %H
2024-01-08 02:30:00,92.0 %H
2024-01-08 03:00:00,92.0 %H
2024-01-08 03:30:00,92.5 %H
2024-01-08 04:00:00,92.8 %H
2024-01-08 04:30:00,93.4 %H
2024-01-08 05:00:00,94.4 %H
2024-01-08 05:30:00,95.0 %H
2024-01-08 06:00:00,95.6 %H
2024-01-08 06:30:00,96.3 %H
2024-01-08 07:00:00,96.0 %H
2024-01-08 07:30:00,94.8 %H
2024-01-08 08:00:00,93.5 %H
2024-01-08 08:30:00,91.9 %H
2024-01-08 09:00:00,89.1 %H
2024-01-08 09:30:00,87.7 %H
2024-01-08 10:00:00,85.3 %H
2024-01-08 10:30:00,85.0 %H
2024-01-08 11:00:00,83.7 %H
2024-01-08 11:30:00,81.0 %H
2024-01-08 12:00:00,78.7 %H
2024-01-08 12:30:00,77.4 %H
2024-01-08 13:00:00,76.8 %H
2024-01-08 13:30:00,76.3 %H
2024-01-08 14:00:00,76.1 %H
2024-01-08 14:30:00,77.2 %H
2024-01-08 15:00:00,74.7 %H
2024-01-08 15:30:00,72.4 %H
2024-01-08 16:00:00,73.0 %H
2024-01-08 16:30:00,75.2 %H
2024-01-08 17:00:00,76.8 %H
2024-01-08 17:30:00,77.5 %H
2024-01-08 18:00:00,80.7 %H
2024-01-08 18:30:00,82.4 %H
2024-01-08 19:00:00,84.7 %H
2024-01-08 19:30:00,87.7 %H
2024-01-08 20:00:00,88.7 %H
2024-01-08 20:30:00,89.1 %H
2024-01-08 21:00:00,89.2 %H
2024-01-08 21:30:00,90.1 %H
2024-01-08 22:00:00,91.2 %H
2024-01-08 22:30:00,92.9 %H
2024-01-08 23:00:00,94.0 %H
2024-01-08 23:30:00,93.2 %H
2024-01-09 00:00:00,92.3 %H
2024-01-09 00:30:00,92.1 %H
2024-01-09 01:00:00,91.8 %H
2024-01-09 01:30:00,92.0 %H
2024-01-09 02:00:00,91.9 %H
2024-01-09 02:30:00,92.3 %H
2024-01-09 03:00:00,92.6 %H
2024-01-09 03:30:00,92.5 %H
2024-01-09 04:00:00,93.0 %H
2024-01-09 04:30:00,92.7 %H
2024-01-09 05:00:00,93.0 %H
2024-01-09 05:30:00,93.4 %H
2024-01-09 06:00:00,93.7 %H
