"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-07 07:00:00,0.605 m/s
2023-05-07 08:00:00,0.249 m/s
2023-05-07 09:00:00,0.691 m/s
2023-05-07 10:00:00,1.06 m/s
2023-05-07 11:00:00,1.82 m/s
2023-05-07 12:00:00,1.92 m/s
2023-05-07 13:00:00,2.41 m/s
2023-05-07 14:00:00,2.72 m/s
2023-05-07 15:00:00,2.46 m/s
2023-05-07 16:00:00,2.27 m/s
2023-05-07 17:00:00,2.19 m/s
2023-05-07 18:00:00,1.84 m/s
2023-05-07 19:00:00,0.896 m/s
2023-05-07 20:00:00,0.884 m/s
2023-05-07 21:00:00,1.05 m/s
2023-05-07 22:00:00,0.361 m/s
2023-05-07 23:00:00,0.570 m/s
2023-05-08 00:00:00,0.316 m/s
2023-05-08 01:00:00,0.200 m/s
2023-05-08 02:00:00,0.233 m/s
2023-05-08 03:00:00,0.137 m/s
2023-05-08 04:00:00,0.231 m/s
2023-05-08 05:00:00,0.138 m/s
2023-05-08 06:00:00,0.360 m/s
2023-05-08 07:00:00,0.691 m/s
2023-05-08 08:00:00,0.192 m/s
2023-05-08 09:00:00,0.680 m/s
2023-05-08 10:00:00,0.850 m/s
2023-05-08 11:00:00,0.959 m/s
2023-05-08 12:00:00,1.01 m/s
2023-05-08 13:00:00,1.62 m/s
2023-05-08 14:00:00,1.18 m/s
2023-05-08 15:00:00,1.18 m/s
2023-05-08 16:00:00,1.63 m/s
2023-05-08 17:00:00,2.06 m/s
2023-05-08 18:00:00,2.57 m/s
2023-05-08 19:00:00,2.48 m/s
2023-05-08 20:00:00,2.81 m/s
2023-05-08 21:00:00,1.87 m/s
2023-05-08 22:00:00,1.62 m/s
2023-05-08 23:00:00,1.42 m/s
2023-05-09 00:00:00,0.955 m/s
2023-05-09 01:00:00,1.24 m/s
2023-05-09 02:00:00,1.26 m/s
2023-05-09 03:00:00,1.34 m/s
2023-05-09 04:00:00,0.533 m/s
2023-05-09 05:00:00,0.320 m/s
2023-05-09 06:00:00,0.316 m/s
2023-05-09 07:00:00,0.275 m/s
2023-05-09 08:00:00,0.385 m/s
2023-05-09 09:00:00,1.05 m/s
2023-05-09 16:00:00,0.600 m/s
2023-05-09 17:00:00,0.471 m/s
