"Time","atm_temp {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-01-13 11:00:00,24.5 °C
2023-01-13 12:00:00,24.6 °C
2023-01-13 15:00:00,32.0 °C
2023-01-13 16:00:00,31.1 °C
2023-01-13 17:00:00,30.3 °C
2023-01-13 18:00:00,29.3 °C
2023-01-13 19:00:00,28.8 °C
2023-01-13 20:00:00,27.8 °C
2023-01-13 21:00:00,26.4 °C
2023-01-13 22:00:00,25.8 °C
2023-01-13 23:00:00,25.2 °C
2023-01-14 00:00:00,24.8 °C
2023-01-14 01:00:00,24.5 °C
2023-01-14 02:00:00,24.3 °C
2023-01-14 03:00:00,24.1 °C
2023-01-14 04:00:00,24.1 °C
2023-01-14 05:00:00,23.4 °C
2023-01-14 06:00:00,23.3 °C
2023-01-14 07:00:00,23.1 °C
2023-01-14 08:00:00,23.2 °C
2023-01-14 09:00:00,23.7 °C
2023-01-14 10:00:00,25.0 °C
2023-01-14 11:00:00,26.9 °C
2023-01-14 12:00:00,28.6 °C
2023-01-14 13:00:00,29.6 °C
2023-01-14 14:00:00,29.9 °C
2023-01-14 15:00:00,31.4 °C
2023-01-14 16:00:00,31.1 °C
2023-01-14 17:00:00,30.5 °C
2023-01-14 18:00:00,29.6 °C
2023-01-14 19:00:00,27.3 °C
2023-01-14 20:00:00,25.4 °C
2023-01-14 21:00:00,23.9 °C
2023-01-14 22:00:00,23.4 °C
2023-01-14 23:00:00,22.9 °C
2023-01-15 00:00:00,22.9 °C
2023-01-15 01:00:00,22.8 °C
2023-01-15 02:00:00,22.8 °C
2023-01-15 03:00:00,22.2 °C
2023-01-15 04:00:00,22.6 °C
2023-01-15 05:00:00,22.3 °C
2023-01-15 06:00:00,22.2 °C
2023-01-15 07:00:00,22.1 °C
2023-01-15 08:00:00,22.4 °C
2023-01-15 09:00:00,22.6 °C
2023-01-15 10:00:00,22.9 °C
2023-01-15 11:00:00,23.4 °C
2023-01-15 12:00:00,24.7 °C
2023-01-15 13:00:00,25.1 °C
2023-01-15 14:00:00,24.8 °C
2023-01-15 15:00:00,25.6 °C
2023-01-15 16:00:00,26.0 °C
2023-01-15 17:00:00,26.1 °C
2023-01-15 18:00:00,26.0 °C
