"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-12-01 01:00:00,228
2023-12-01 02:00:00,233
2023-12-01 03:00:00,250
2023-12-01 04:00:00,243
2023-12-01 05:00:00,211
2023-12-01 06:00:00,224
2023-12-01 07:00:00,233
2023-12-01 08:00:00,244
2023-12-01 09:00:00,256
2023-12-01 10:00:00,229
2023-12-01 11:00:00,242
2023-12-01 12:00:00,225
2023-12-01 13:00:00,232
2023-12-01 14:00:00,222
2023-12-01 15:00:00,224
2023-12-01 16:00:00,235
2023-12-01 17:00:00,253
2023-12-01 18:00:00,208
2023-12-01 19:00:00,220
2023-12-01 20:00:00,241
2023-12-01 21:00:00,235
2023-12-01 22:00:00,225
2023-12-01 23:00:00,217
2023-12-02 00:00:00,234
2023-12-02 01:00:00,240
2023-12-02 02:00:00,239
2023-12-02 03:00:00,239
2023-12-02 04:00:00,255
2023-12-02 05:00:00,234
2023-12-02 06:00:00,261
2023-12-02 07:00:00,230
2023-12-02 08:00:00,256
2023-12-02 09:00:00,256
2023-12-02 10:00:00,225
2023-12-02 11:00:00,170
2023-12-02 12:00:00,221
2023-12-02 13:00:00,225
2023-12-02 14:00:00,203
2023-12-02 15:00:00,183
2023-12-02 16:00:00,173
2023-12-02 17:00:00,256
2023-12-02 18:00:00,237
2023-12-02 19:00:00,229
2023-12-02 20:00:00,232
2023-12-02 21:00:00,228
2023-12-02 22:00:00,245
2023-12-02 23:00:00,233
2023-12-03 00:00:00,225
2023-12-03 01:00:00,252
2023-12-03 02:00:00,217
2023-12-03 03:00:00,234
2023-12-03 04:00:00,242
2023-12-03 05:00:00,260
2023-12-03 06:00:00,236
2023-12-03 07:00:00,251
2023-12-03 08:00:00,250
2023-12-03 09:00:00,200
2023-12-03 10:00:00,213
2023-12-03 11:00:00,169
2023-12-03 12:00:00,120
2023-12-03 13:00:00,94.8
2023-12-03 14:00:00,135
2023-12-03 15:00:00,124
2023-12-03 16:00:00,169
2023-12-03 17:00:00,228
2023-12-03 18:00:00,230
2023-12-03 19:00:00,239
2023-12-03 20:00:00,233
2023-12-03 21:00:00,227
2023-12-03 22:00:00,231
2023-12-03 23:00:00,255
2023-12-04 00:00:00,243
2023-12-04 01:00:00,226
2023-12-04 02:00:00,225
2023-12-04 03:00:00,243
2023-12-04 04:00:00,239
2023-12-04 05:00:00,249
2023-12-04 06:00:00,256
2023-12-04 07:00:00,265
2023-12-04 08:00:00,264
2023-12-04 09:00:00,195
2023-12-04 10:00:00,232
2023-12-04 11:00:00,215
2023-12-04 12:00:00,159
2023-12-04 13:00:00,184
2023-12-04 14:00:00,169
2023-12-04 15:00:00,157
2023-12-04 16:00:00,215
2023-12-04 17:00:00,229
2023-12-04 18:00:00,219
2023-12-04 19:00:00,228
2023-12-04 20:00:00,244
2023-12-04 21:00:00,236
2023-12-04 22:00:00,233
2023-12-04 23:00:00,224
2023-12-05 00:00:00,194
2023-12-05 01:00:00,212
2023-12-05 02:00:00,245
2023-12-05 03:00:00,249
2023-12-05 04:00:00,284
2023-12-05 05:00:00,271
2023-12-05 06:00:00,278
2023-12-05 07:00:00,256
2023-12-05 08:00:00,216
2023-12-05 09:00:00,239
2023-12-05 10:00:00,244
2023-12-05 11:00:00,233
2023-12-05 12:00:00,219
2023-12-05 13:00:00,223
2023-12-05 14:00:00,176
2023-12-05 15:00:00,215
2023-12-05 16:00:00,190
2023-12-05 17:00:00,209
2023-12-05 18:00:00,168
2023-12-05 19:00:00,185
2023-12-05 20:00:00,165
2023-12-05 21:00:00,157
2023-12-05 22:00:00,208
2023-12-05 23:00:00,241
2023-12-06 00:00:00,228
2023-12-06 01:00:00,219
2023-12-06 02:00:00,244
2023-12-06 03:00:00,202
2023-12-06 04:00:00,198
2023-12-06 05:00:00,267
2023-12-06 06:00:00,296
2023-12-06 07:00:00,242
2023-12-06 08:00:00,130
2023-12-06 09:00:00,128
2023-12-06 10:00:00,214
2023-12-06 11:00:00,153
2023-12-06 12:00:00,151
2023-12-06 13:00:00,157
2023-12-06 14:00:00,170
2023-12-06 15:00:00,173
2023-12-06 16:00:00,184
2023-12-06 17:00:00,161
2023-12-06 18:00:00,185
2023-12-06 19:00:00,206
2023-12-06 20:00:00,229
2023-12-06 21:00:00,259
2023-12-06 22:00:00,247
2023-12-06 23:00:00,251
2023-12-07 00:00:00,132
2023-12-07 01:00:00,167
2023-12-07 02:00:00,244
2023-12-07 03:00:00,207
2023-12-07 04:00:00,203
2023-12-07 05:00:00,264
2023-12-07 06:00:00,274
2023-12-07 07:00:00,267
2023-12-07 08:00:00,236
2023-12-07 09:00:00,209
2023-12-07 10:00:00,158
2023-12-07 11:00:00,163
2023-12-07 12:00:00,153
2023-12-07 13:00:00,167
2023-12-07 14:00:00,164
2023-12-07 15:00:00,166
2023-12-07 16:00:00,206
2023-12-07 17:00:00,222
2023-12-07 18:00:00,226
2023-12-07 19:00:00,241
2023-12-07 20:00:00,252
2023-12-07 21:00:00,234
2023-12-07 22:00:00,257
2023-12-07 23:00:00,245
2023-12-08 00:00:00,246
2023-12-08 01:00:00,261
2023-12-08 02:00:00,276
2023-12-08 03:00:00,261
2023-12-08 04:00:00,224
2023-12-08 05:00:00,241
2023-12-08 06:00:00,256
2023-12-08 07:00:00,228
2023-12-08 08:00:00,257
2023-12-08 09:00:00,250
2023-12-08 10:00:00,236
2023-12-08 11:00:00,243
2023-12-08 12:00:00,240
2023-12-08 13:00:00,256
2023-12-08 14:00:00,257
2023-12-08 15:00:00,191
2023-12-08 16:00:00,213
2023-12-08 17:00:00,243
2023-12-08 18:00:00,241
2023-12-08 19:00:00,237
2023-12-08 20:00:00,241
2023-12-08 21:00:00,252
2023-12-08 22:00:00,226
2023-12-08 23:00:00,254
2023-12-09 00:00:00,276
2023-12-09 01:00:00,282
2023-12-09 02:00:00,250
2023-12-09 03:00:00,274
2023-12-09 04:00:00,237
2023-12-09 05:00:00,259
2023-12-09 06:00:00,247
2023-12-09 07:00:00,220
2023-12-09 08:00:00,218
2023-12-09 09:00:00,175
2023-12-09 10:00:00,187
2023-12-09 11:00:00,136
2023-12-09 12:00:00,198
2023-12-09 13:00:00,123
2023-12-09 14:00:00,152
2023-12-09 15:00:00,148
2023-12-09 16:00:00,156
2023-12-09 17:00:00,108
2023-12-09 18:00:00,107
2023-12-09 19:00:00,141
2023-12-09 20:00:00,189
2023-12-09 21:00:00,182
2023-12-09 22:00:00,210
2023-12-09 23:00:00,253
2023-12-10 00:00:00,223
2023-12-10 01:00:00,295
2023-12-10 02:00:00,260
2023-12-10 03:00:00,300
2023-12-10 04:00:00,276
2023-12-10 05:00:00,220
2023-12-10 06:00:00,218
2023-12-10 07:00:00,282
2023-12-10 08:00:00,161
2023-12-10 09:00:00,235
2023-12-10 10:00:00,226
2023-12-10 11:00:00,211
2023-12-10 12:00:00,223
2023-12-10 13:00:00,203
2023-12-10 14:00:00,250
2023-12-10 15:00:00,250
2023-12-10 16:00:00,244
2023-12-10 17:00:00,242
2023-12-10 18:00:00,203
2023-12-10 19:00:00,202
2023-12-26 11:00:00,177
2023-12-26 12:00:00,158
2023-12-26 13:00:00,132
