"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-04-14 12:00:00,0.0973 m/s
2023-04-14 14:00:00,0.107 m/s
2023-04-17 16:00:00,1.34 m/s
2023-04-17 17:00:00,1.89 m/s
2023-04-17 18:00:00,2.08 m/s
2023-04-17 19:00:00,1.97 m/s
2023-04-17 20:00:00,1.90 m/s
2023-04-17 21:00:00,1.10 m/s
2023-04-17 22:00:00,1.11 m/s
2023-04-17 23:00:00,0.873 m/s
2023-04-18 00:00:00,0.497 m/s
2023-04-18 01:00:00,1.09 m/s
2023-04-18 02:00:00,0.474 m/s
2023-04-18 03:00:00,0.358 m/s
2023-04-18 04:00:00,0.980 m/s
2023-04-18 05:00:00,1.11 m/s
2023-04-18 06:00:00,0.806 m/s
2023-04-18 07:00:00,0.658 m/s
2023-04-18 08:00:00,0.590 m/s
2023-04-18 09:00:00,1.27 m/s
2023-04-18 10:00:00,1.32 m/s
2023-04-18 11:00:00,0.842 m/s
2023-04-18 12:00:00,1.11 m/s
2023-04-18 13:00:00,1.08 m/s
2023-04-18 14:00:00,0.820 m/s
2023-04-18 15:00:00,0.707 m/s
2023-04-18 16:00:00,1.21 m/s
2023-04-18 17:00:00,1.00 m/s
2023-04-18 18:00:00,1.07 m/s
2023-04-18 19:00:00,2.58 m/s
2023-04-18 20:00:00,2.04 m/s
2023-04-18 21:00:00,1.22 m/s
2023-04-18 22:00:00,0.338 m/s
2023-04-18 23:00:00,0.349 m/s
2023-04-19 00:00:00,0.419 m/s
2023-04-19 01:00:00,0.171 m/s
2023-04-19 02:00:00,0.385 m/s
2023-04-19 03:00:00,1.46 m/s
2023-04-19 04:00:00,1.08 m/s
2023-04-19 05:00:00,1.38 m/s
2023-04-19 06:00:00,1.09 m/s
2023-04-19 07:00:00,0.625 m/s
2023-04-19 08:00:00,1.16 m/s
2023-04-19 09:00:00,1.85 m/s
2023-04-19 10:00:00,1.66 m/s
2023-04-19 11:00:00,1.32 m/s
2023-04-19 12:00:00,1.19 m/s
2023-04-19 13:00:00,0.826 m/s
2023-04-19 14:00:00,0.648 m/s
2023-04-19 15:00:00,1.22 m/s
2023-04-19 16:00:00,0.854 m/s
2023-04-19 17:00:00,2.17 m/s
2023-04-19 18:00:00,2.61 m/s
2023-04-19 19:00:00,1.67 m/s
2023-04-19 20:00:00,1.48 m/s
2023-04-19 21:00:00,1.24 m/s
2023-04-19 22:00:00,1.17 m/s
2023-04-19 23:00:00,0.731 m/s
2023-04-20 00:00:00,1.30 m/s
2023-04-20 01:00:00,0.905 m/s
2023-04-20 02:00:00,0.249 m/s
2023-04-20 03:00:00,0.496 m/s
2023-04-20 04:00:00,0.624 m/s
2023-04-20 05:00:00,0.274 m/s
2023-04-20 06:00:00,0.750 m/s
2023-04-20 07:00:00,0.253 m/s
2023-04-20 08:00:00,0.300 m/s
2023-04-20 09:00:00,0.311 m/s
2023-04-20 10:00:00,0.760 m/s
2023-04-20 11:00:00,0.778 m/s
2023-04-20 12:00:00,0.637 m/s
2023-04-20 13:00:00,0.509 m/s
2023-04-20 14:00:00,0.808 m/s
2023-04-20 15:00:00,0.600 m/s
2023-04-20 16:00:00,0.669 m/s
2023-04-20 17:00:00,1.15 m/s
2023-04-20 18:00:00,0.518 m/s
2023-04-20 19:00:00,2.33 m/s
2023-04-20 20:00:00,0.991 m/s
2023-04-20 21:00:00,1.63 m/s
2023-04-20 22:00:00,1.04 m/s
2023-04-20 23:00:00,1.18 m/s
2023-04-21 00:00:00,0.622 m/s
2023-04-21 01:00:00,0.484 m/s
2023-04-21 02:00:00,0.633 m/s
2023-04-21 03:00:00,0.926 m/s
2023-04-21 04:00:00,0.398 m/s
2023-04-21 05:00:00,0.270 m/s
2023-04-21 06:00:00,0.865 m/s
2023-04-21 07:00:00,1.31 m/s
2023-04-21 08:00:00,0.732 m/s
2023-04-21 09:00:00,0.375 m/s
2023-04-21 10:00:00,0.698 m/s
2023-04-21 11:00:00,0.608 m/s
2023-04-21 12:00:00,0.816 m/s
2023-04-21 13:00:00,0.788 m/s
2023-04-21 14:00:00,0.531 m/s
2023-04-21 15:00:00,0.721 m/s
2023-04-21 16:00:00,0.602 m/s
2023-04-21 17:00:00,0.422 m/s
2023-04-21 18:00:00,0.252 m/s
2023-04-21 19:00:00,0.0920 m/s
2023-04-21 20:00:00,0.0980 m/s
2023-04-21 21:00:00,0.443 m/s
2023-04-21 22:00:00,0.685 m/s
2023-04-21 23:00:00,0.516 m/s
2023-04-22 00:00:00,0.190 m/s
2023-04-22 01:00:00,0.122 m/s
2023-04-22 02:00:00,0.0750 m/s
2023-04-22 03:00:00,0.424 m/s
2023-04-22 04:00:00,0.146 m/s
2023-04-22 05:00:00,0.182 m/s
2023-04-22 06:00:00,0.0105 m/s
2023-04-22 07:00:00,0.148 m/s
2023-04-22 08:00:00,0.267 m/s
2023-04-22 09:00:00,0.759 m/s
2023-04-22 10:00:00,1.21 m/s
2023-04-22 11:00:00,0.806 m/s
2023-04-22 12:00:00,1.12 m/s
2023-04-22 13:00:00,0.786 m/s
2023-04-22 14:00:00,0.789 m/s
2023-04-22 15:00:00,2.21 m/s
2023-04-22 16:00:00,2.56 m/s
2023-04-22 17:00:00,2.12 m/s
2023-04-22 18:00:00,1.18 m/s
2023-04-22 19:00:00,1.19 m/s
2023-04-22 20:00:00,0.773 m/s
2023-04-22 21:00:00,0.635 m/s
2023-04-22 22:00:00,0.868 m/s
2023-04-22 23:00:00,0.403 m/s
2023-04-23 00:00:00,0.355 m/s
2023-04-23 01:00:00,0.555 m/s
2023-04-23 02:00:00,0.241 m/s
2023-04-23 03:00:00,0.177 m/s
2023-04-23 04:00:00,0.215 m/s
2023-04-23 05:00:00,0.132 m/s
2023-04-23 06:00:00,0 m/s
2023-04-23 07:00:00,0.311 m/s
2023-04-23 08:00:00,0.815 m/s
2023-04-23 09:00:00,1.98 m/s
2023-04-23 10:00:00,1.85 m/s
2023-04-23 11:00:00,1.45 m/s
2023-04-23 12:00:00,0.991 m/s
2023-04-23 13:00:00,0.962 m/s
2023-04-23 14:00:00,0.717 m/s
2023-04-23 15:00:00,0.741 m/s
2023-04-23 16:00:00,0.921 m/s
2023-04-23 17:00:00,1.29 m/s
2023-04-23 18:00:00,1.04 m/s
2023-04-23 19:00:00,0.226 m/s
