"Time","atm_hum {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-05-01 01:00:00,99.5 %H
2023-05-01 02:00:00,99.5 %H
2023-05-01 03:00:00,99.5 %H
2023-05-01 04:00:00,99.5 %H
2023-05-01 05:00:00,99.5 %H
2023-05-01 06:00:00,99.5 %H
2023-05-01 07:00:00,99.5 %H
2023-05-01 08:00:00,99.5 %H
2023-05-01 09:00:00,99.5 %H
2023-05-01 10:00:00,96.0 %H
2023-05-01 11:00:00,87.6 %H
2023-05-01 12:00:00,81.4 %H
2023-05-01 13:00:00,78.5 %H
2023-05-01 14:00:00,78.9 %H
2023-05-01 15:00:00,80.0 %H
2023-05-01 16:00:00,80.1 %H
2023-05-01 17:00:00,77.6 %H
2023-05-01 18:00:00,79.0 %H
2023-05-01 19:00:00,83.7 %H
2023-05-01 20:00:00,86.9 %H
2023-05-01 21:00:00,87.3 %H
2023-05-01 22:00:00,88.2 %H
2023-05-01 23:00:00,88.3 %H
2023-05-02 00:00:00,89.1 %H
2023-05-02 01:00:00,88.9 %H
2023-05-02 02:00:00,89.2 %H
2023-05-02 03:00:00,89.6 %H
2023-05-02 04:00:00,94.3 %H
2023-05-02 05:00:00,96.8 %H
2023-05-02 06:00:00,97.6 %H
2023-05-02 07:00:00,97.6 %H
2023-05-02 08:00:00,91.9 %H
2023-05-02 09:00:00,83.8 %H
2023-05-02 10:00:00,81.1 %H
2023-05-02 11:00:00,77.4 %H
2023-05-02 12:00:00,77.0 %H
2023-05-02 13:00:00,75.9 %H
2023-05-02 14:00:00,75.2 %H
2023-05-02 15:00:00,79.1 %H
2023-05-02 16:00:00,74.0 %H
2023-05-02 17:00:00,74.4 %H
2023-05-02 18:00:00,84.8 %H
2023-05-02 19:00:00,88.6 %H
2023-05-02 20:00:00,88.4 %H
2023-05-02 21:00:00,85.8 %H
2023-05-02 22:00:00,83.8 %H
2023-05-02 23:00:00,85.8 %H
2023-05-03 00:00:00,89.5 %H
2023-05-03 01:00:00,89.3 %H
2023-05-03 02:00:00,89.1 %H
2023-05-03 03:00:00,89.2 %H
2023-05-03 04:00:00,91.0 %H
2023-05-03 05:00:00,89.7 %H
2023-05-03 06:00:00,91.6 %H
2023-05-03 07:00:00,92.4 %H
2023-05-03 08:00:00,90.8 %H
2023-05-03 09:00:00,89.8 %H
2023-05-03 10:00:00,93.3 %H
2023-05-03 11:00:00,89.5 %H
2023-05-03 12:00:00,93.0 %H
2023-05-03 13:00:00,87.6 %H
2023-05-03 14:00:00,83.2 %H
2023-05-03 15:00:00,79.4 %H
2023-05-03 16:00:00,78.5 %H
2023-05-03 17:00:00,78.8 %H
2023-05-03 18:00:00,80.3 %H
2023-05-03 19:00:00,86.9 %H
2023-05-03 20:00:00,92.8 %H
2023-05-03 21:00:00,94.9 %H
2023-05-03 22:00:00,97.0 %H
2023-05-03 23:00:00,94.8 %H
2023-05-04 00:00:00,94.1 %H
2023-05-04 01:00:00,92.6 %H
2023-05-04 02:00:00,96.2 %H
2023-05-04 03:00:00,95.7 %H
2023-05-04 04:00:00,91.5 %H
2023-05-04 05:00:00,94.5 %H
2023-05-04 06:00:00,96.6 %H
2023-05-04 07:00:00,98.2 %H
2023-05-04 08:00:00,92.5 %H
2023-05-04 09:00:00,85.0 %H
2023-05-04 10:00:00,78.7 %H
2023-05-04 11:00:00,74.7 %H
2023-05-04 12:00:00,72.7 %H
2023-05-04 13:00:00,71.1 %H
2023-05-04 14:00:00,70.5 %H
2023-05-04 15:00:00,67.7 %H
2023-05-04 16:00:00,71.2 %H
2023-05-04 17:00:00,73.5 %H
2023-05-04 18:00:00,80.3 %H
2023-05-04 19:00:00,84.4 %H
2023-05-04 20:00:00,85.0 %H
2023-05-04 21:00:00,86.0 %H
2023-05-04 22:00:00,87.7 %H
2023-05-04 23:00:00,85.6 %H
2023-05-05 00:00:00,85.9 %H
2023-05-05 01:00:00,89.8 %H
2023-05-05 02:00:00,88.0 %H
2023-05-05 03:00:00,86.2 %H
2023-05-05 04:00:00,91.3 %H
2023-05-05 05:00:00,89.2 %H
2023-05-05 06:00:00,90.3 %H
2023-05-05 07:00:00,91.2 %H
2023-05-05 08:00:00,91.3 %H
2023-05-05 09:00:00,90 %H
2023-05-05 10:00:00,85.9 %H
2023-05-05 11:00:00,80.8 %H
2023-05-05 12:00:00,76.8 %H
2023-05-05 13:00:00,76.5 %H
2023-05-05 14:00:00,76.6 %H
2023-05-05 15:00:00,81.5 %H
2023-05-05 16:00:00,81.4 %H
2023-05-05 17:00:00,79.1 %H
2023-05-05 18:00:00,79.4 %H
2023-05-05 19:00:00,83.1 %H
2023-05-05 20:00:00,84.5 %H
2023-05-05 21:00:00,85.4 %H
2023-05-05 22:00:00,88 %H
2023-05-05 23:00:00,85.7 %H
2023-05-06 00:00:00,85.8 %H
2023-05-06 01:00:00,84.0 %H
2023-05-06 02:00:00,84.0 %H
2023-05-06 03:00:00,87.9 %H
