"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-03-01 01:00:00,228
2023-03-01 02:00:00,181
2023-03-01 03:00:00,147
2023-03-01 04:00:00,199
2023-03-01 05:00:00,223
2023-03-01 06:00:00,268
2023-03-01 07:00:00,205
2023-03-01 08:00:00,232
2023-03-01 09:00:00,110
2023-03-01 10:00:00,110
2023-03-01 11:00:00,112
2023-03-01 12:00:00,126
2023-03-01 13:00:00,122
2023-03-01 14:00:00,124
2023-03-01 15:00:00,121
2023-03-01 16:00:00,118
2023-03-01 17:00:00,125
2023-03-01 18:00:00,221
2023-03-01 19:00:00,249
2023-03-01 20:00:00,269
2023-03-01 21:00:00,298
2023-03-01 22:00:00,247
2023-03-01 23:00:00,201
2023-03-02 00:00:00,230
2023-03-02 01:00:00,212
2023-03-02 02:00:00,239
2023-03-02 03:00:00,183
2023-03-02 04:00:00,209
2023-03-02 05:00:00,200
2023-03-02 06:00:00,199
2023-03-02 07:00:00,191
2023-03-02 08:00:00,173
2023-03-02 09:00:00,234
2023-03-02 10:00:00,231
2023-03-02 11:00:00,223
2023-03-02 12:00:00,228
2023-03-02 13:00:00,214
2023-03-02 14:00:00,215
2023-03-02 15:00:00,236
2023-03-02 16:00:00,251
2023-03-02 17:00:00,239
2023-03-02 18:00:00,242
2023-03-02 19:00:00,160
2023-03-02 20:00:00,158
2023-03-02 21:00:00,242
2023-03-02 22:00:00,237
2023-03-02 23:00:00,250
2023-03-03 00:00:00,246
2023-03-03 01:00:00,268
2023-03-03 02:00:00,232
2023-03-03 03:00:00,214
2023-03-03 04:00:00,243
2023-03-03 05:00:00,224
2023-03-03 06:00:00,207
2023-03-03 07:00:00,234
2023-03-03 08:00:00,266
2023-03-03 09:00:00,109
2023-03-03 10:00:00,172
2023-03-03 11:00:00,182
2023-03-03 12:00:00,118
2023-03-03 13:00:00,123
2023-03-03 14:00:00,103
2023-03-03 15:00:00,152
2023-03-03 16:00:00,190
2023-03-03 17:00:00,222
2023-03-03 18:00:00,273
2023-03-03 19:00:00,232
2023-03-03 20:00:00,219
2023-03-03 21:00:00,245
2023-03-03 22:00:00,178
2023-03-03 23:00:00,233
2023-03-04 00:00:00,197
2023-03-04 01:00:00,242
2023-03-04 02:00:00,259
2023-03-04 03:00:00,245
2023-03-04 04:00:00,222
2023-03-04 05:00:00,245
2023-03-04 06:00:00,175
2023-03-04 07:00:00,229
2023-03-04 08:00:00,210
2023-03-04 09:00:00,139
2023-03-04 10:00:00,139
2023-03-04 11:00:00,141
2023-03-04 12:00:00,169
2023-03-04 13:00:00,161
2023-03-04 14:00:00,128
2023-03-04 15:00:00,117
2023-03-04 16:00:00,234
2023-03-04 17:00:00,209
2023-03-04 18:00:00,227
2023-03-04 19:00:00,230
2023-03-04 20:00:00,185
2023-03-04 21:00:00,217
2023-03-04 22:00:00,236
2023-03-04 23:00:00,238
2023-03-05 00:00:00,193
2023-03-05 01:00:00,155
2023-03-05 02:00:00,139
2023-03-05 03:00:00,179
2023-03-05 04:00:00,197
2023-03-05 05:00:00,219
2023-03-05 06:00:00,137
2023-03-05 07:00:00,228
2023-03-05 08:00:00,265
2023-03-05 09:00:00,223
2023-03-05 10:00:00,120
2023-03-05 11:00:00,148
2023-03-05 12:00:00,130
2023-03-05 13:00:00,117
2023-03-05 14:00:00,164
2023-03-05 15:00:00,180
2023-03-05 16:00:00,163
2023-03-05 17:00:00,283
2023-03-05 18:00:00,278
2023-03-05 19:00:00,239
2023-03-05 20:00:00,227
2023-03-05 21:00:00,204
2023-03-05 22:00:00,234
2023-03-05 23:00:00,218
2023-03-06 00:00:00,206
2023-03-06 01:00:00,172
2023-03-06 02:00:00,212
2023-03-06 03:00:00,232
2023-03-06 04:00:00,224
2023-03-06 05:00:00,221
2023-03-06 06:00:00,216
2023-03-06 07:00:00,216
2023-03-06 08:00:00,154
2023-03-06 09:00:00,143
2023-03-06 10:00:00,165
2023-03-06 11:00:00,190
2023-03-06 12:00:00,194
2023-03-06 13:00:00,135
2023-03-06 14:00:00,181
2023-03-06 15:00:00,133
2023-03-06 16:00:00,118
2023-03-06 17:00:00,137
2023-03-06 18:00:00,222
