"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-06-01 14:00:00,0.0786 m/s
2023-06-01 15:00:00,0.0316 m/s
2023-06-01 16:00:00,0.0231 m/s
2023-06-01 17:00:00,0.0625 m/s
2023-06-01 18:00:00,0 m/s
2023-06-01 19:00:00,0 m/s
2023-06-01 20:00:00,0 m/s
2023-06-01 21:00:00,0 m/s
2023-06-01 22:00:00,0 m/s
2023-06-01 23:00:00,0 m/s
2023-06-02 00:00:00,0 m/s
2023-06-02 01:00:00,0 m/s
2023-06-02 02:00:00,0 m/s
2023-06-02 03:00:00,0 m/s
2023-06-02 04:00:00,0 m/s
2023-06-02 05:00:00,0.00690 m/s
2023-06-02 06:00:00,0 m/s
2023-06-02 07:00:00,0 m/s
2023-06-02 08:00:00,0 m/s
2023-06-02 09:00:00,0.00769 m/s
2023-06-02 10:00:00,0.0852 m/s
2023-06-02 11:00:00,0.0435 m/s
2023-06-02 12:00:00,0.150 m/s
2023-06-02 13:00:00,0.187 m/s
2023-06-02 14:00:00,0.273 m/s
2023-06-02 15:00:00,0.642 m/s
2023-06-02 16:00:00,0.585 m/s
2023-06-02 17:00:00,0.415 m/s
2023-06-02 18:00:00,0.871 m/s
2023-06-02 19:00:00,1.22 m/s
2023-06-02 20:00:00,1.53 m/s
2023-06-02 21:00:00,1.75 m/s
2023-06-02 22:00:00,1.69 m/s
2023-06-02 23:00:00,1.73 m/s
2023-06-03 00:00:00,1.60 m/s
2023-06-03 01:00:00,1.51 m/s
2023-06-03 02:00:00,1.84 m/s
2023-06-03 03:00:00,1.07 m/s
2023-06-03 04:00:00,0.496 m/s
2023-06-03 05:00:00,0.00714 m/s
2023-06-03 06:00:00,0.0577 m/s
2023-06-03 07:00:00,0.407 m/s
2023-06-03 08:00:00,0.476 m/s
2023-06-03 09:00:00,0.885 m/s
2023-06-03 10:00:00,1.03 m/s
2023-06-03 11:00:00,0.810 m/s
2023-06-03 12:00:00,0.735 m/s
2023-06-03 13:00:00,0.582 m/s
2023-06-03 14:00:00,0.586 m/s
2023-06-03 15:00:00,1.22 m/s
2023-06-03 16:00:00,0.907 m/s
2023-06-03 17:00:00,1.32 m/s
