"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-01-13 11:00:00,0 m/s
2023-01-13 12:00:00,0 m/s
2023-01-13 15:00:00,0.791 m/s
2023-01-13 16:00:00,1.02 m/s
2023-01-13 17:00:00,2.41 m/s
2023-01-13 18:00:00,2.19 m/s
2023-01-13 19:00:00,2.14 m/s
2023-01-13 20:00:00,3.06 m/s
2023-01-13 21:00:00,4.00 m/s
2023-01-13 22:00:00,1.65 m/s
2023-01-13 23:00:00,0.983 m/s
2023-01-14 00:00:00,1.12 m/s
2023-01-14 01:00:00,0.853 m/s
2023-01-14 02:00:00,0.691 m/s
2023-01-14 03:00:00,0.810 m/s
2023-01-14 04:00:00,0.770 m/s
2023-01-14 05:00:00,0.683 m/s
2023-01-14 06:00:00,0.519 m/s
2023-01-14 07:00:00,0.793 m/s
2023-01-14 08:00:00,1.16 m/s
2023-01-14 09:00:00,1.08 m/s
2023-01-14 10:00:00,1.13 m/s
2023-01-14 11:00:00,1.20 m/s
2023-01-14 12:00:00,1.25 m/s
2023-01-14 13:00:00,1.07 m/s
2023-01-14 14:00:00,1.54 m/s
2023-01-14 15:00:00,1.61 m/s
2023-01-14 16:00:00,0.996 m/s
2023-01-14 17:00:00,0.901 m/s
2023-01-14 18:00:00,1.25 m/s
2023-01-14 19:00:00,1.16 m/s
2023-01-14 20:00:00,0.643 m/s
2023-01-14 21:00:00,0.840 m/s
2023-01-14 22:00:00,1.24 m/s
2023-01-14 23:00:00,1.01 m/s
2023-01-15 00:00:00,0.808 m/s
2023-01-15 01:00:00,0.939 m/s
2023-01-15 02:00:00,0.830 m/s
2023-01-15 03:00:00,0.349 m/s
2023-01-15 04:00:00,0.455 m/s
2023-01-15 05:00:00,0.500 m/s
2023-01-15 06:00:00,1.37 m/s
2023-01-15 07:00:00,0.761 m/s
2023-01-15 08:00:00,0.503 m/s
2023-01-15 09:00:00,0.695 m/s
2023-01-15 10:00:00,0.397 m/s
2023-01-15 11:00:00,0.543 m/s
2023-01-15 12:00:00,0.971 m/s
2023-01-15 13:00:00,0.727 m/s
2023-01-15 14:00:00,0.672 m/s
2023-01-15 15:00:00,0.496 m/s
2023-01-15 16:00:00,0.524 m/s
2023-01-15 17:00:00,0.921 m/s
2023-01-15 18:00:00,1.44 m/s
2023-01-15 19:00:00,1.49 m/s
2023-01-15 20:00:00,0.962 m/s
2023-01-15 21:00:00,0.770 m/s
2023-01-15 22:00:00,1.26 m/s
2023-01-15 23:00:00,1.39 m/s
2023-01-16 00:00:00,1.44 m/s
2023-01-16 01:00:00,0.943 m/s
2023-01-16 02:00:00,0.359 m/s
2023-01-16 03:00:00,0.761 m/s
2023-01-16 04:00:00,0.585 m/s
2023-01-16 05:00:00,0.319 m/s
2023-01-16 06:00:00,0.386 m/s
2023-01-16 07:00:00,0.418 m/s
2023-01-16 08:00:00,0.897 m/s
2023-01-16 09:00:00,1.68 m/s
2023-01-16 10:00:00,1.16 m/s
2023-01-16 11:00:00,0.957 m/s
2023-01-16 12:00:00,0.912 m/s
2023-01-16 13:00:00,0.955 m/s
2023-01-16 14:00:00,0.893 m/s
2023-01-16 15:00:00,1.55 m/s
2023-01-16 16:00:00,1.23 m/s
2023-01-16 17:00:00,1.16 m/s
2023-01-16 18:00:00,0.998 m/s
2023-01-16 19:00:00,0.781 m/s
2023-01-16 20:00:00,1.75 m/s
2023-01-16 21:00:00,1.46 m/s
2023-01-16 22:00:00,0.863 m/s
2023-01-16 23:00:00,0.776 m/s
2023-01-17 00:00:00,1.51 m/s
2023-01-17 01:00:00,1.15 m/s
2023-01-17 02:00:00,1.43 m/s
2023-01-17 03:00:00,1.07 m/s
2023-01-17 04:00:00,0.430 m/s
2023-01-17 05:00:00,0.497 m/s
