"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-01-13 11:00:00,320
2023-01-13 12:00:00,204
2023-01-13 15:00:00,140
2023-01-13 16:00:00,139
2023-01-13 17:00:00,210
2023-01-13 18:00:00,225
2023-01-13 19:00:00,244
2023-01-13 20:00:00,231
2023-01-13 21:00:00,247
2023-01-13 22:00:00,281
2023-01-13 23:00:00,251
2023-01-14 00:00:00,233
2023-01-14 01:00:00,240
2023-01-14 02:00:00,220
2023-01-14 03:00:00,234
2023-01-14 04:00:00,261
2023-01-14 05:00:00,199
2023-01-14 06:00:00,249
2023-01-14 07:00:00,252
2023-01-14 08:00:00,181
2023-01-14 09:00:00,213
2023-01-14 10:00:00,201
2023-01-14 11:00:00,121
2023-01-14 12:00:00,123
2023-01-14 13:00:00,147
2023-01-14 14:00:00,169
2023-01-14 15:00:00,163
2023-01-14 16:00:00,152
2023-01-14 17:00:00,164
2023-01-14 18:00:00,230
2023-01-14 19:00:00,168
2023-01-14 20:00:00,145
2023-01-14 21:00:00,190
2023-01-14 22:00:00,141
2023-01-14 23:00:00,223
2023-01-15 00:00:00,238
2023-01-15 01:00:00,230
2023-01-15 02:00:00,225
2023-01-15 03:00:00,201
2023-01-15 04:00:00,204
2023-01-15 05:00:00,261
2023-01-15 06:00:00,238
2023-01-15 07:00:00,166
2023-01-15 08:00:00,221
2023-01-15 09:00:00,293
2023-01-15 10:00:00,189
2023-01-15 11:00:00,181
2023-01-15 12:00:00,220
2023-01-15 13:00:00,148
2023-01-15 14:00:00,122
2023-01-15 15:00:00,162
2023-01-15 16:00:00,176
2023-01-15 17:00:00,229
2023-01-15 18:00:00,224
2023-01-15 19:00:00,232
2023-01-15 20:00:00,184
2023-01-15 21:00:00,274
2023-01-15 22:00:00,239
2023-01-15 23:00:00,211
2023-01-16 00:00:00,243
2023-01-16 01:00:00,212
2023-01-16 02:00:00,218
2023-01-16 03:00:00,198
2023-01-16 04:00:00,177
2023-01-16 05:00:00,172
2023-01-16 06:00:00,236
2023-01-16 07:00:00,246
2023-01-16 08:00:00,217
2023-01-16 09:00:00,163
2023-01-16 10:00:00,124
2023-01-16 11:00:00,209
2023-01-16 12:00:00,196
2023-01-16 13:00:00,156
2023-01-16 14:00:00,138
2023-01-16 15:00:00,159
2023-01-16 16:00:00,168
2023-01-16 17:00:00,168
2023-01-16 18:00:00,187
2023-01-16 19:00:00,229
2023-01-16 20:00:00,209
2023-01-16 21:00:00,245
2023-01-16 22:00:00,213
2023-01-16 23:00:00,205
2023-01-17 00:00:00,266
2023-01-17 01:00:00,264
2023-01-17 02:00:00,261
2023-01-17 03:00:00,248
2023-01-17 04:00:00,197
2023-01-17 05:00:00,215
2023-01-17 06:00:00,257
2023-01-17 07:00:00,199
2023-01-17 08:00:00,143
2023-01-17 09:00:00,158
2023-01-17 10:00:00,101
2023-01-17 11:00:00,104
2023-01-17 12:00:00,92.7
2023-01-17 13:00:00,103
2023-01-17 14:00:00,108
2023-01-17 15:00:00,135
2023-01-17 16:00:00,132
2023-01-17 17:00:00,132
2023-01-17 18:00:00,134
2023-01-17 19:00:00,134
2023-01-17 20:00:00,196
2023-01-17 21:00:00,274
2023-01-17 22:00:00,262
2023-01-17 23:00:00,246
2023-01-18 00:00:00,246
2023-01-18 01:00:00,194
2023-01-18 02:00:00,100
2023-01-18 03:00:00,198
2023-01-18 04:00:00,181
2023-01-18 05:00:00,141
2023-01-18 06:00:00,129
2023-01-18 07:00:00,148
2023-01-18 08:00:00,199
2023-01-18 09:00:00,144
2023-01-18 10:00:00,143
2023-01-18 11:00:00,109
2023-01-18 12:00:00,98.4
2023-01-18 13:00:00,114
2023-01-18 14:00:00,106
2023-01-18 15:00:00,115
2023-01-18 16:00:00,101
2023-01-18 17:00:00,87.4
2023-01-18 18:00:00,103
2023-01-18 19:00:00,232
2023-01-18 20:00:00,239
2023-01-18 21:00:00,225
2023-01-18 22:00:00,240
2023-01-18 23:00:00,215
2023-01-19 00:00:00,245
2023-01-19 01:00:00,177
2023-01-19 02:00:00,230
2023-01-19 03:00:00,230
2023-01-19 04:00:00,232
2023-01-19 05:00:00,212
2023-01-19 06:00:00,226
2023-01-19 07:00:00,207
2023-01-19 08:00:00,209
2023-01-19 09:00:00,146
2023-01-19 10:00:00,112
2023-01-19 11:00:00,141
2023-01-19 12:00:00,119
2023-01-19 13:00:00,121
2023-01-19 14:00:00,120
2023-01-19 15:00:00,105
2023-01-19 16:00:00,102
2023-01-19 17:00:00,177
2023-01-19 18:00:00,268
2023-01-19 19:00:00,248
2023-01-19 20:00:00,264
2023-01-19 21:00:00,162
2023-01-19 22:00:00,188
2023-01-19 23:00:00,229
2023-01-20 00:00:00,236
2023-01-20 01:00:00,250
2023-01-20 02:00:00,244
2023-01-20 03:00:00,264
2023-01-20 04:00:00,161
2023-01-20 05:00:00,198
2023-01-20 06:00:00,233
2023-01-20 07:00:00,171
2023-01-20 08:00:00,113
2023-01-20 09:00:00,214
2023-01-20 10:00:00,87.3
2023-01-20 11:00:00,122
2023-01-20 12:00:00,100
2023-01-20 13:00:00,149
2023-01-20 14:00:00,165
2023-01-20 15:00:00,162
2023-01-20 16:00:00,157
2023-01-20 17:00:00,189
2023-01-20 18:00:00,229
2023-01-20 19:00:00,235
2023-01-20 20:00:00,255
2023-01-20 21:00:00,260
2023-01-20 22:00:00,215
2023-01-20 23:00:00,243
2023-01-21 00:00:00,265
2023-01-21 01:00:00,230
2023-01-21 02:00:00,232
2023-01-21 03:00:00,263
2023-01-21 04:00:00,206
2023-01-21 05:00:00,213
2023-01-21 06:00:00,297
2023-01-21 07:00:00,198
2023-01-21 08:00:00,168
2023-01-21 09:00:00,109
2023-01-21 10:00:00,133
2023-01-21 11:00:00,154
2023-01-21 12:00:00,112
2023-01-21 13:00:00,104
2023-01-21 14:00:00,188
2023-01-21 15:00:00,129
2023-01-21 16:00:00,103
2023-01-21 17:00:00,185
2023-01-21 18:00:00,173
2023-01-21 19:00:00,197
2023-01-21 20:00:00,207
2023-01-21 21:00:00,196
2023-01-21 22:00:00,245
2023-01-21 23:00:00,258
2023-01-22 00:00:00,292
2023-01-22 01:00:00,269
2023-01-22 02:00:00,288
2023-01-22 03:00:00,265
2023-01-22 04:00:00,252
2023-01-22 05:00:00,178
2023-01-22 06:00:00,176
2023-01-22 07:00:00,188
2023-01-22 08:00:00,168
2023-01-22 09:00:00,103
2023-01-22 10:00:00,90.8
2023-01-22 11:00:00,152
2023-01-22 12:00:00,122
2023-01-22 13:00:00,124
2023-01-22 14:00:00,115
2023-01-22 15:00:00,153
2023-01-22 16:00:00,94.2
2023-01-22 17:00:00,110
2023-01-22 18:00:00,167
2023-01-22 19:00:00,163
2023-01-22 20:00:00,191
2023-01-22 21:00:00,244
2023-01-22 22:00:00,226
2023-01-22 23:00:00,255
2023-01-23 00:00:00,226
2023-01-23 01:00:00,224
2023-01-23 02:00:00,226
2023-01-23 03:00:00,243
2023-01-23 04:00:00,249
2023-01-23 05:00:00,262
2023-01-23 06:00:00,138
2023-01-23 07:00:00,231
2023-01-23 08:00:00,205
2023-01-23 09:00:00,105
2023-01-23 10:00:00,200
2023-01-23 11:00:00,137
2023-01-23 12:00:00,138
2023-01-23 13:00:00,206
2023-01-23 14:00:00,199
2023-01-23 15:00:00,189
2023-01-23 16:00:00,251
2023-01-23 17:00:00,215
2023-01-23 18:00:00,230
2023-01-23 19:00:00,259
2023-01-23 20:00:00,231
2023-01-23 21:00:00,237
2023-01-23 22:00:00,267
2023-01-23 23:00:00,258
2023-01-24 00:00:00,222
2023-01-24 01:00:00,235
2023-01-24 02:00:00,197
2023-01-24 03:00:00,228
2023-01-24 04:00:00,250
2023-01-24 05:00:00,267
2023-01-24 06:00:00,221
2023-01-24 07:00:00,215
2023-01-24 08:00:00,254
2023-01-24 09:00:00,139
2023-01-24 10:00:00,184
2023-01-24 11:00:00,120
2023-01-24 12:00:00,161
2023-01-24 13:00:00,130
2023-01-24 14:00:00,138
2023-01-24 15:00:00,181
2023-01-24 16:00:00,94.8
2023-01-24 17:00:00,101
2023-01-24 18:00:00,180
2023-01-24 19:00:00,226
2023-01-24 20:00:00,241
2023-01-24 21:00:00,263
2023-01-24 22:00:00,218
2023-01-24 23:00:00,240
2023-01-25 00:00:00,251
2023-01-25 01:00:00,239
2023-01-25 02:00:00,241
2023-01-25 03:00:00,249
2023-01-25 04:00:00,235
2023-01-25 05:00:00,203
2023-01-25 06:00:00,188
2023-01-25 07:00:00,239
2023-01-25 08:00:00,219
2023-01-25 09:00:00,116
2023-01-25 10:00:00,139
2023-01-25 11:00:00,213
2023-01-25 12:00:00,239
2023-01-25 13:00:00,214
2023-01-25 14:00:00,238
2023-01-25 15:00:00,229
2023-01-25 16:00:00,241
2023-01-25 17:00:00,247
2023-01-25 18:00:00,248
2023-01-25 19:00:00,210
2023-01-25 20:00:00,263
2023-01-25 21:00:00,247
2023-01-25 22:00:00,253
2023-01-25 23:00:00,253
2023-01-26 00:00:00,260
2023-01-26 01:00:00,271
2023-01-26 02:00:00,261
2023-01-26 03:00:00,222
2023-01-26 04:00:00,259
2023-01-26 05:00:00,222
2023-01-26 06:00:00,246
2023-01-26 07:00:00,236
2023-01-26 08:00:00,194
2023-01-26 09:00:00,176
2023-01-26 10:00:00,93.0
2023-01-26 11:00:00,130
2023-01-26 12:00:00,97.3
2023-01-26 13:00:00,98.5
2023-01-26 14:00:00,144
2023-01-26 15:00:00,123
2023-01-26 16:00:00,130
2023-01-26 17:00:00,154
2023-01-26 18:00:00,141
2023-01-26 19:00:00,267
2023-01-26 20:00:00,277
2023-01-26 21:00:00,260
2023-01-26 22:00:00,178
2023-01-26 23:00:00,290
2023-01-27 00:00:00,188
2023-01-27 01:00:00,219
2023-01-27 02:00:00,228
2023-01-27 03:00:00,249
2023-01-27 04:00:00,232
2023-01-27 05:00:00,246
2023-01-27 06:00:00,250
2023-01-27 07:00:00,179
2023-01-27 08:00:00,156
2023-01-27 09:00:00,202
2023-01-27 10:00:00,199
2023-01-27 11:00:00,178
2023-01-27 12:00:00,180
2023-01-27 13:00:00,155
2023-01-27 14:00:00,205
2023-01-27 15:00:00,120
2023-01-27 16:00:00,218
2023-01-27 17:00:00,270
2023-01-27 18:00:00,211
2023-01-27 19:00:00,257
2023-01-27 20:00:00,256
2023-01-27 21:00:00,264
2023-01-27 22:00:00,212
2023-01-27 23:00:00,229
2023-01-28 00:00:00,233
2023-01-28 01:00:00,214
2023-01-28 02:00:00,234
2023-01-28 03:00:00,241
