"Time","wspd {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-12-01 01:00:00,3.34 m/s
2023-12-01 02:00:00,2.51 m/s
2023-12-01 03:00:00,2.73 m/s
2023-12-01 04:00:00,2.86 m/s
2023-12-01 05:00:00,1.66 m/s
2023-12-01 06:00:00,0.930 m/s
2023-12-01 07:00:00,1.21 m/s
2023-12-01 08:00:00,1.10 m/s
2023-12-01 09:00:00,1.05 m/s
2023-12-01 10:00:00,1.31 m/s
2023-12-01 11:00:00,1.97 m/s
2023-12-01 12:00:00,1.89 m/s
2023-12-01 13:00:00,1.49 m/s
2023-12-01 14:00:00,1.16 m/s
2023-12-01 15:00:00,1.50 m/s
2023-12-01 16:00:00,1.70 m/s
2023-12-01 17:00:00,1.51 m/s
2023-12-01 18:00:00,2.10 m/s
2023-12-01 19:00:00,2.69 m/s
2023-12-01 20:00:00,2.76 m/s
2023-12-01 21:00:00,3.11 m/s
2023-12-01 22:00:00,3.07 m/s
2023-12-01 23:00:00,3.66 m/s
2023-12-02 00:00:00,3.50 m/s
2023-12-02 01:00:00,2.33 m/s
2023-12-02 02:00:00,2.74 m/s
2023-12-02 03:00:00,2.48 m/s
2023-12-02 04:00:00,1.89 m/s
2023-12-02 05:00:00,1.85 m/s
2023-12-02 06:00:00,1.29 m/s
2023-12-02 07:00:00,0.770 m/s
2023-12-02 08:00:00,0.707 m/s
2023-12-02 09:00:00,1.95 m/s
2023-12-02 10:00:00,1.58 m/s
2023-12-02 11:00:00,1.51 m/s
2023-12-02 12:00:00,1.07 m/s
2023-12-02 13:00:00,1.41 m/s
2023-12-02 14:00:00,0.803 m/s
2023-12-02 15:00:00,1.20 m/s
2023-12-02 16:00:00,1.36 m/s
2023-12-02 17:00:00,2.26 m/s
2023-12-02 18:00:00,2.61 m/s
2023-12-02 19:00:00,3.61 m/s
2023-12-02 20:00:00,4.14 m/s
2023-12-02 21:00:00,4.99 m/s
2023-12-02 22:00:00,4.26 m/s
2023-12-02 23:00:00,3.93 m/s
2023-12-03 00:00:00,3.12 m/s
2023-12-03 01:00:00,2.78 m/s
2023-12-03 02:00:00,3.44 m/s
2023-12-03 03:00:00,2.86 m/s
2023-12-03 04:00:00,1.45 m/s
2023-12-03 05:00:00,1.25 m/s
2023-12-03 06:00:00,1.47 m/s
2023-12-03 07:00:00,1.42 m/s
2023-12-03 08:00:00,0.975 m/s
2023-12-03 09:00:00,1.88 m/s
2023-12-03 10:00:00,1.85 m/s
2023-12-03 11:00:00,1.65 m/s
2023-12-03 12:00:00,1.47 m/s
2023-12-03 13:00:00,1.42 m/s
2023-12-03 14:00:00,1.27 m/s
2023-12-03 15:00:00,1.30 m/s
2023-12-03 16:00:00,1.05 m/s
2023-12-03 17:00:00,1.78 m/s
2023-12-03 18:00:00,2.20 m/s
2023-12-03 19:00:00,2.28 m/s
2023-12-03 20:00:00,2.66 m/s
2023-12-03 21:00:00,2.63 m/s
2023-12-03 22:00:00,2.08 m/s
2023-12-03 23:00:00,3.00 m/s
2023-12-04 00:00:00,2.49 m/s
2023-12-04 01:00:00,2.25 m/s
2023-12-04 02:00:00,1.65 m/s
2023-12-04 03:00:00,2.10 m/s
2023-12-04 04:00:00,1.83 m/s
2023-12-04 05:00:00,2.29 m/s
2023-12-04 06:00:00,2.01 m/s
2023-12-04 07:00:00,1.61 m/s
2023-12-04 08:00:00,0.977 m/s
2023-12-04 09:00:00,0.886 m/s
2023-12-04 10:00:00,1.91 m/s
2023-12-04 11:00:00,1.86 m/s
2023-12-04 12:00:00,2.04 m/s
2023-12-04 13:00:00,2.00 m/s
2023-12-04 14:00:00,1.85 m/s
2023-12-04 15:00:00,1.71 m/s
2023-12-04 16:00:00,1.53 m/s
2023-12-04 17:00:00,1.88 m/s
2023-12-04 18:00:00,2.89 m/s
2023-12-04 19:00:00,3.11 m/s
2023-12-04 20:00:00,3.44 m/s
2023-12-04 21:00:00,3.36 m/s
2023-12-04 22:00:00,2.82 m/s
2023-12-04 23:00:00,2.47 m/s
2023-12-05 00:00:00,1.62 m/s
2023-12-05 01:00:00,2.23 m/s
2023-12-05 02:00:00,2.62 m/s
2023-12-05 03:00:00,1.94 m/s
2023-12-05 04:00:00,2.40 m/s
2023-12-05 05:00:00,1.94 m/s
2023-12-05 06:00:00,1.18 m/s
2023-12-05 07:00:00,0.900 m/s
2023-12-05 08:00:00,1.12 m/s
2023-12-05 09:00:00,1.50 m/s
2023-12-05 10:00:00,2.12 m/s
2023-12-05 11:00:00,1.62 m/s
2023-12-05 12:00:00,1.84 m/s
2023-12-05 13:00:00,1.75 m/s
2023-12-05 14:00:00,1.67 m/s
2023-12-05 15:00:00,1.28 m/s
2023-12-05 16:00:00,1.36 m/s
2023-12-05 17:00:00,1.39 m/s
2023-12-05 18:00:00,1.56 m/s
2023-12-05 19:00:00,1.92 m/s
2023-12-05 20:00:00,0.643 m/s
2023-12-05 21:00:00,0.507 m/s
2023-12-05 22:00:00,1.15 m/s
2023-12-05 23:00:00,2.20 m/s
2023-12-06 00:00:00,2.72 m/s
2023-12-06 01:00:00,1.73 m/s
2023-12-06 02:00:00,1.35 m/s
2023-12-06 03:00:00,1.25 m/s
2023-12-06 04:00:00,0.904 m/s
2023-12-06 05:00:00,0.900 m/s
2023-12-06 06:00:00,0.427 m/s
2023-12-06 07:00:00,0.828 m/s
2023-12-06 08:00:00,0.670 m/s
2023-12-06 09:00:00,0.821 m/s
2023-12-06 10:00:00,1.43 m/s
2023-12-06 11:00:00,1.21 m/s
2023-12-06 12:00:00,1.33 m/s
2023-12-06 13:00:00,1.49 m/s
2023-12-06 14:00:00,1.86 m/s
2023-12-06 15:00:00,1.53 m/s
2023-12-06 16:00:00,2.23 m/s
2023-12-06 17:00:00,2.07 m/s
2023-12-06 18:00:00,1.73 m/s
2023-12-06 19:00:00,1.88 m/s
2023-12-06 20:00:00,1.39 m/s
2023-12-06 21:00:00,1.49 m/s
2023-12-06 22:00:00,2.41 m/s
2023-12-06 23:00:00,2.89 m/s
2023-12-07 00:00:00,1.83 m/s
2023-12-07 01:00:00,1.57 m/s
2023-12-07 02:00:00,0.897 m/s
2023-12-07 03:00:00,0.572 m/s
2023-12-07 04:00:00,0.787 m/s
2023-12-07 05:00:00,0.929 m/s
2023-12-07 06:00:00,0.813 m/s
2023-12-07 07:00:00,0.741 m/s
2023-12-07 08:00:00,0.897 m/s
2023-12-07 09:00:00,0.737 m/s
2023-12-07 10:00:00,1.33 m/s
2023-12-07 11:00:00,0.989 m/s
